date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other,Vaccine
4-Mar-20,Governor Lujan Grisham said state officials are engaging in tabletop exercises for how to respond if the virus surfaces in New Mexico including the possibility of off-site locations that could be used to provide care and limit transmission of the virus.,,,,,,,,,,,Y,
6-Mar-20,"The Department of Insurance issued a bulletin stating that carriers should educate enrollees and providers on CDC guidelines around COVID, adopt new billing codes, encourage telehealth, and ensure preparedness response is ready.",,,,,,Y,,,,,Y,
11-Mar-20,Governor Luhan Grisham signed an executive order declaring a state of public health emergency.The Governor has also restricted state employee travel.,Y,,,,,,Y,,,,,
12-Mar-20,The Governor announced that all New Mexico public schools will close for three weeks beginning March 16th. ,Y,,,,Y,,,,,,,
13-Mar-20,Cabinet Secretary Alicia Keyes announced a COVID-19 Business Loan Guarantee Program and Zero Percent Interest Loans from the New Mexico Economic Development Department.,,,,,,,,,,,Y,
15-Mar-20,"The Governor issued a public health order prohibiting gatherings of 100 people or more and also ordered that all restaurants, bars, and food establishments operate at no greater than 50 percent of maximum occupancy. ",Y,,,,,,,,,,,
15-Mar-20,The Governor issued a directive to all state agencies to accelerate remote work to minimize face-to-face contact.,,,,,,,,,,,Y,
16-Mar-20,The Governor issued five executive orders which authorize up to $3.25 million of additional funding to address the effects of COVID-19.,,,,,,,,,,,Y,
16-Mar-20,"The Children, Youth and Families Department, along withThe Early Childhood Education and Care Department, have expanded childcare for first responders and health providers and is also delivering paid childcare for families.",,,,,,,,,,,Y,
17-Mar-20,The Governor announced that New Mexico has qualified forThe Small Business Administration Disaster Loan Assistance program to assist businesses that have been negatively impacted by COVID-19.,,,,,,,,,,,Y,
17-Mar-20,New Mexico extended eligibility for unemployment insurance benefits to those workers that have been impacted by reduced hours or layoffs due to COVID-19.,,,,,,,,,,,Y,
18-Mar-20,"The Governor prohibited all mass gatherings of 10 or more across the state, which also includes closures of non-essential businesses through April 10.",Y,,,,,,,,,,,
18-Mar-20,The Governor and the Department of Health issued guidelines for the public concerning travel and COVID-19 testing.,,,,Y,,,,,,,Y,
18-Mar-20,"The New Mexico Early Childhood Education and Care Secretary announced that the state is providing free thirty-day accounts to Parentivity, a web-based system providing customized educational resources for new parents, for all parents of New Mexicos young children.",,,,,,,,,,,Y,
19-Mar-20,"The New Mexico Department of Health issued a public health order building on earlier orders to include additional mandatory closures on bars and restaurants, among other businesses.",Y,,,,,,,,,,,
19-Mar-20,"The New Mexico Corrections Department implemented new safeguards suspending all visitation through the end of April, in tandem with increasing inmate access to phones and video conferencing.",Y,,,,,,,,,,,
19-Mar-20,The sovereign tribal nations joined the Governor in collective efforts to prevent further transmission by temporarily closing all tribal casinos.,Y,,,,,,,,,,,
20-Mar-20,The Governor extended the deadline by 90 days (July 15) for New Mexicans file and pay their 2019 personal income taxes.,,,,,,,,,,,Y,
20-Mar-20,"The Governor announced New Mexico's Medicaid Program is requiring managed care organizations to reimburse doctors, behavioral health providers and other health care professionals for telephone and video patient visits. Additionally, managed care organizations are now required to: Waive all prior authorizations for members to obtain COVID-19 testing and treatment services; Expand nurse advice lines to operate 24/7; Coordinate with home care providers to ensure coordinated care for those patients requiring telemedicine services; Allow for replacement of durable medical equipment through telemedicine; and, Reimburse for prescriptions dispensed in amounts up to a 90-day supply.",,,,,,Y,,,,,Y,
23-Mar-20,The New Mexico Department of Health announced a new public health emergency order closing all non-essential businesses and further restricting mass gatherings.,Y,,,,,,,,,,,
23-Mar-20,"The Centers for Medicare & Medicaid Services (CMS) approved New Mexico's request for a Section 1135 Medicaid waiver.The approved waiver enables New Mexico to provide flexibilities in Medicaid provider screening and enrollment, forgo certain pre-admission screening and annual resident review assessments, lift prior authorization requirements, and extend fair hearing and appeals timelines.",,,,,,Y,,,,,,
