date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other,Vaccine
3-Mar-20,The state is now allowing coronavirus testing at the NC State Laboratory of Public Health. These tests are coordinated through the Division of Public Healths Communicable Disease Branch.,,,,Y,,,,,,,,
10-Mar-20,"Governor Cooper declared a state of emergency, which actives the Emergency Operation Center, and allows for control of cost burdens,protects consumers fromprice gouging,and makes it easier to purchase necessary medical supplies. The executive order also makes other recommendations around telework schedules, social gatherings, school closures, and high-risk populations, suchas those in adult living facilities.",,,,,,,Y,,,,,
12-Mar-20,Governor Cooper provided guidance to cancel or postpone gatherings over 100 and to telework if possible.,Y,,,,,,,,,,,
14-Mar-20,The Governor issued an executive order to close all K-12 public schools for a minimum of two weeks. The executive order also prohibits mass gatherings of more than 100 people. ,Y,,,,Y,,,,,,,
16-Mar-20,The Governor requested that The Small Business Administration grant a disaster declaration for Business owners in The state that are facing economic losses due to COVID-19,,,,,,,,,,,Y,
17-Mar-20," The Governor signed Executive Order 118 which closes sit down services at restaurants and bars, and makes state unemployment benefits more widely available.",Y,,,,,,,,,,,
19-Mar-20, The U.S. Small Business Administration granted the Governors request for a disaster declaration for small businesses to apply for a low interest disaster loan.,,,,,,,,,,,Y,
20-Mar-20, The Governor sent a letter to the President requesting the approval of key waivers that will allow the state to adapt federal food and health care programs to better serve North Carolinians.,,,,,,,,,,,Y,
20-Mar-20," The Governor shared a list of funding priorities with the North Carolina Congressional Delegation to help people afford health care, childcare and education needs, while preparing the state for a strong economic recovery.",,,,,Y,Y,,,,,Y,
20-Mar-20," The North Carolina Department of Revenue announced an extension of the April 15 tax filing deadline to July 15 for individual, corporate, and franchise taxes.",,,,,,,,,,,Y,
21-Mar-20," The Governor issued an executive order that waives restrictions to increase access to caregivers to provide flexible child care and elder care, provides ways for the Division of Motor Vehicles to enact social distancing protections, and waives some registration requirements to ensure resources can be delivered by truck throughout the state.",,,,,,,,,,Y,Y,
23-Mar-20," The Governor issued Executive Order 120, which enforces tighter limits on gatherings (50-plus), extends school closures statewide to May 15, closes some businesses that require close social interaction, and limits visitors to long-term care centers.",Y,,,,Y,,,,,,,
23-Mar-20,"The Centers for Medicare & Medicaid Services (CMS) approved North Carolinas request for a Section 1135 Medicaid waiver. The approved waiver enables North Carolina to provide flexibilities in Medicaid provider screening and enrollment, forgo certain pre-admission screening and annual resident review assessments, lift prior authorization requirements, allow for reimbursement facility services in alternative settings, and extend fair hearing and appeals timelines.",,,,,,Y,,,,,,
24-Mar-20," The Governor established a $50 million flexible allotment for public schools to implement remote learning strategies, school nutrition programs, cleaning and sanitizing schools and buses, acquiring protective equipment, and providing child care.",,,,,Y,Y,,,,,,
24-Mar-20," The Governor requested a major disaster declaration, asking the federal government to provide individual assistance to those affected, including crisis counseling, disaster unemployment assistance and Small Business Administration assistance, among other programs.",,,,,,,,,,,Y,
24-Mar-20," Golden Leaf Foundation announced $15 million in funding for the states COVID-19 Rapid Recovery Lending program which supports North Carolina small businesses and family farms as they recover from the economic impact of COVID-19. The loan helps small businesses bridge the gap until federal loans, insurance payouts, and other relief funds are approved, or businesses have time to recover.",,,,,,,,,,,Y,
25-Mar-20,The North CarolinaDepartment of Health and Human Services issued emergency child care operations and finance guidelines requiring emergency centers to register with the state and offering bonus pay to child care teachers.,,,,,,,,,,,Y,
26-Mar-20," The Governor announced the state received a federal disaster declaration, which allows local governments, state agencies and eligible non-profits to be reimbursed for costs incurred by response efforts.",,,,,,,,,,,Y,
27-Mar-20, The Governor announced that parents who need food assistance for their children can text a hotline to locate nearby meal sites.,,,,,,,,,,,Y,
27-Mar-20," The Governor announced a statewide stay at home order in effect until April 29, providing for essential businesses to continue to operate while prioritizing social distancing measures.",Y,,,,,,,,,,,
29-Mar-20," The Governor announced that the first payments for the approximately 270,000 unemployment claims related to COVID-19 will be issued within the forthcoming week.",,,,,,,,,,,Y,
30-Mar-20," The Governor issued Executive Order No. 122 allowing schools and local governments to request additional property, including computers owned by the state, to help bridge outstanding resource gaps. The Order also provides transfer or donation of personal protective equipment that state government may have and not need.",,,,,Y,Y,,,,,,
31-Mar-20," The Governor issued Executive Order No. 124 prohibiting utilities from disconnecting people who are unable to pay their bills due to economic distress. The Order directs utilities to give residential customers at least six months to pay outstanding bills and prohibits them from collecting fees, penalties or interest or late payment.",,,,,,,,,,,Y,
7-Apr-20, The Governor issued an executive order that creates more flexibility in law enforcement training schedules so that people training for new positions can pause their trainings to isolate or self-quarantine and resume at a later date. ,,,,,,,,,,,Y,
