date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other,Vaccine
3-Mar-20,"The North Dakota Department of Health has developed an online survey for people who have traveled internationally within the past 14 days to complete. Upon completion of the survey, North Dakotans will receive information about how to monitor themselves for symptoms of COVID-19 and what to do if symptoms develop.",,,,,,,,,,,Y,
12-Mar-20,Governor Burgum released recommendations around large events and public gatherings.,,,,,,,,,,,Y,
13-Mar-20,Governor Burgum declared a state of emergency,,,,,,,Y,,,,,
15-Mar-20,The Governor ordered all K-12 schools to close from March 16-March 20 to slow the spread of COVID-19.,Y,,,,Y,,,,,,,
17-Mar-20," The Department of Commerce partnered with the Greater North Dakota Chamber (GNDC) to provide a weekly business briefing via conference call to GNDC members and businesses, trade associations, and local chambers of commerce to discuss current solutions for stressors caused by COVID-19.",,,,,,,,,,,Y,
18-Mar-20,The Governor signed an executive order allowing K-12 schools to not make up instructional time lost due to COVID-19 related closures.,,,,,Y,,,,,,,
19-Mar-20,The Governor signed an executive order directing bars and restaurants to close to on-site patrons.,Y,,,,,,,,,,,
19-Mar-20,The Governor signed an executive order temporarily suspending certain licensure requirements for health care and behavioral health care workers to allow them to work in the state if theyre appropriately licensed in another state.,,,,,,Y,,,,,,
19-Mar-20,The Governor announced additional guidance for K-12 schools to continue educating students through alternative delivery methods beginning April 1.,,,,,Y,,,,,,,
19-Mar-20," The North Dakota Development Board voted to suspend all payments, both principal and interest, for all outstanding North Dakota Development Fund Loans for 30 days.",,,,,,,,,,,Y,
20-Mar-20,"The Governor signed three executive orders to reduce regulatory burdens and improve services for North Dakotans. Taken together, these waivers: Require immediate changes to the unemployment insurance process by expanding eligibility; Order state agencies to identify any state laws, rules, or regulations that hinder or delay their ability to render maximum assistance; Recognize any North Dakota drivers license or motor vehicle registration that expired on or after March 1, as valid and current as long as the executive order is in effect; Expand telehealth services to limit in-person visits and assist residents practicing social distancing; and Include medical imaging and radiation therapy professionals to the list of health professionals who can work in the state if theyre appropriately licensed in another state.",,,,,,Y,,,,Y,Y,
21-Mar-20,"The Governor signed an executive order expanding testing locations across the state. Specifically,The Governor authorized licensed pharmacists to administer COVID-19 tests and issue emergency refills for medications for up to a 30-day supply.",,,,,,,,,,,,
22-Mar-20,The Governor issued an executive order requesting school districts submit distance learning plans by March 27 and begin instruction no later than April 1.,,,,,Y,,,,,,,
