date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other,Vaccine
10-Mar-20,Governor DeWine issued a recommendationon limiting large indoor gatherings.,Y,,,,,,,,,,,
12-Mar-20,"Governor DeWine announced that all schools will be closed for three weeks beginning on Monday, March 16.",Y,,,,Y,,,,,,,
15-Mar-20," The Governor ordered all Ohio bars and restaurants to close, with only take-out and delivery options available.",Y,,,,,,,,,,,
16-Mar-20,The Governor issued an order regarding the closure of all polling locations on March 17.,Y,,,,,,,,,,,
17-Mar-20, The Ohio Department of Job and Family Services implemented emergency measures to ensure communities have access to childcare.,,,,,,,,,,,Y,
18-Mar-20," The Governor authorized the Ohio National Guard to assist state and local governments execute laws and respond to state emergencies, such as distributing food and supplies.",,,,,,,,,,,Y,
19-Mar-20, The Governor issued an executive order expanding access to health care services through telemedicine for Medicaid beneficiaries.,,,,,,Y,,,,,,
20-Mar-20, The Governor ordered all senior living centers to stop providing adult day care services in congregate care settings.,Y,,,,,,,,,,,
20-Mar-20, The Ohio Department of Insurance issued an order for insurers to allow employers to offer employees a grace period (up to 60 calendar days from original premium due date) for insurance premiums.,,,,,,,,,,,Y,
20-Mar-20," The Governor announced that adult day services for individuals with developmental disabilities will be ordered to close, with the exceptions for groups of less than 10.",Y,,,,,,,,,,,
21-Mar-20, The Ohio Bureau of Workers Compensation announced that insurance premium installment payments due for March through May for the current policy year may be deferred until June 1.,,,,,,,,,,,Y,
21-Mar-20, The Ohio Department of Transportation announced the agency will issue waivers on a rolling basis for haulers carrying heavy or oversized loads of essential goods.,,,,,,,,,,,Y,
21-Mar-20, The Ohio Department of Health issued a Directors Order closing all internet cafes.,Y,,,,,,,,,,,
22-Mar-20," The Ohio Department of Health issued a Stay at Home order which directs citizens of Ohio to stay at home or place of residence, ceases all non-essential business and operations, prohibits public and private gatherings, and prohibits some travel, among other things.",Y,,,,,,,,,,,
22-Mar-20, The Ohio Board of Pharmacy passed a rule relating to prescribing chloroquine and hydroxychloroquine for COVID-19 treatment.,,,,,,Y,,,,,Y,
23-Mar-20, The Governor announced that any child care facility that remains open to care for children under a Temporary Pandemic Child Care license must give first priority to front line workers.,,,,,,,,,,,Y,
26-Mar-20," The Governor announced an expanded data dashboard that displays the most recent preliminary data reported to the Ohio Department of Health about COVID-19 cases, hospitalizations, and deaths in Ohio by selected demographics and county of residence.",,,,,,,,,,,Y,
27-Mar-20,"The Governor signed House Bill 197 which provides emergency relief to Ohioans. Specifically, the bill, among other things: Waives state testing requirements for school children this year; Extends professional licenses to those who cannot get them renewed; Extends the income tax deadline to July 15, 2020; and Provides funding for small businesses, such as day cares and services for the disabled.",,,,,,,,,,,Y,
28-Mar-20," The Governor made an urgent plea to the U.S. Food and Drug Administration to issue an emergency waiver for the use of new technology that could sterilize up to 160,000 used N95 personal protective face masks per day in the state. Additionally, the Governor issued a plea to LabCorp and Quest Diagnostics to provide COVID-19 testing results to the Ohio Department of Health immediately.",,,,,,Y,,,,,,
30-Mar-20," The Governor made several announcements related to the states ongoing pandemic response: School closures have been extended through the end of April; The formation of a Homelessness Team to help people who may rely on homeless shelters, domestic shelters, group homes, and recovery housing; Inmates incarcerated in state correctional facilities have begun making gowns, cough masks, hand sanitizer, and face shields.",Y,,,,,,,,,,Y,
31-Mar-20," The Department of Health issued a Directors Order to require any entity involved in the supply chain, from creation through end use, to report and disclose their inventory of ventilators no later than 5:00PM ET each Wednesday.",,,,,,Y,,,,,,
1-Apr-20, The Governor issued Executive Order 2020-08D requesting landlords suspend rent payments for small business commercial tenants and provide a moratorium of evictions of small business commercial tenants for a period of 90 days.,,,,,,,,,,,Y,
1-Apr-20," The Governor announced the establishment of a public-private partnership, the Ohio Manufacturing Alliance to Fight COVID-19, that will coordinate efforts to provide healthcare workers and first responders with personal protective equipment.",,,,,,Y,,,,,,
1-Apr-20," The Ohio Department of Health Director signed an order to speed turnaround time of COVID-19 testing by directing Ohio hospitals that do not currently conduct their own testing to send their specimens to one of four laboratories outlined in the order. Additionally, hospitals are directed to immediately begin utilizing rapid tests as soon as they become available.",,,,Y,,,,,,,,
1-Apr-20," The Governor announced a new partnership with the U.S. Department of Agriculture Food and Nutrition Service and grocery stores to develop a click and collect option for SNAP recipients. The partnership allows SNAP recipients to order groceries online, pick up their groceries in their cares, and swipe their EBT cards from their vehicles without entering the store.",,,,,,,,,,,Y,
1-Apr-20," The Governor announced the President approved the governors request for a major disaster declaration to provide relief for state and local response efforts associated with emergency protective measures, such as emergency operations center operations, fire and police services, emergency medical care, sheltering, among other things.",,,,,,,,,,,Y,
2-Apr-20,The Governor announced several state actions to strengthen response and recovery efforts: Extending the stay and home order through May 1; Creating an Economic Advisory Board to assist the administration work through the economic issues facing Ohio; and Implementing a website geared toward matching essential businesses with Ohioans who are able and willing to work as an essential employee.,Y,,,,,,,,,,Y,
3-Apr-20, The Governor announced that The Ohio State University Wexner Medical Center is partnering with the Ohio Department of Health to help increase the availability of testing supplies. ,,,,Y,,,,,,,,
3-Apr-20, Lt. Governor Jon Husted announced that Battelle and JobsOhio have partnered to provide free N95 masks sanitizing for hospitals for the next two weeks. ,,,,,,Y,,,,,,
3-Apr-20," The Governor announced that he recommended the early release of 38 prison inmates. To this end, the Governor will send a letter to the judges who presided over these cases and encourage them to grant early release. ",,,,,,,,,,,Y,
3-Apr-20," The Ohio Department of Education released a special guide to assist schools, educators, students, parents, and caregivers as they navigate remote learning. ",,,,,Y,,,,,,,
4-Apr-20," The Governor, Lt. Governor, and the Director of the Ohio Department of Health urged Ohioans to begin wearing cloth masks while in public.",,,,,,Y,,,,,,
4-Apr-20," The Governor signed an executive order allowing Ohioans to more easily access telehealth services from individual counselors, social workers, and marriage and family counselors. ",,,,,,Y,,,,,,
4-Apr-20, Lt. Governor Husted announced that BroadbandOhio has been working with providers to find public WiFi locations for Ohioans who may not otherwise have access to internet from home. A list of hotspot finders and locations by provider can be found here.,,,,,,,,,,,Y,
4-Apr-20," The JobsOhio Innovation Fund will make loans available to eligible businesses during the COVID-19 crisis. They will use convertible loans, side by side with cash co-invested from existing investors, toward Ohios most promising and innovative companies. ",,,,,,,,,,,Y,
6-Apr-20, The Governor announced six sites have been selected as alternative care facilities to increase medical surge. ,,,,,,Y,,,,,,
6-Apr-20, The Governor authorized the Ohio National Guard to assist in the Elkton Federal Correctional Institutions infirmary with non-COVID-19 cases and with patients who are showing symptoms of the disease. ,,,,,,,,,,,Y,
7-Apr-20," The Ohio Liquor Control Commission passed an emergency rule, allowing establishments with an existing on-premises liquor permit to sell and deliver alcohol for off-premises consumption.",,,,,,,,,,,Y,
7-Apr-20," The Ohio Development Services Agency established the Office of Small Business Relief, that will:Serve as the lead state agency for administering federal recovery funds for small business support and recovery;Work with federal, state, and local partners to evaluate and determine possible regulatory reforms that encourage employment and job creation; and, Coordinate efforts of Ohios Small Business Development Centers and Minority Business Assistance Centers. ",,,,,,,,,,,Y,
7-Apr-20, The Ohio Department of Rehabilitation and Corrections recommended that certain inmates scheduled to be released in the next 90 days be released sooner to allow for increased social distancing between prison staff and inmates. ,,,,,,,,,,,Y,
7-Apr-20, The Ohio Department of Job and Family Services announced that those who did not already receive the maximum monthly allotment for their household size from the Supplemental Nutrition Assistance Program in March will be issued an additional payment beginning this week. ,,,,,,,,,,,Y,
8-Apr-20," The Governor requested the Ohio Bureau of Workers Compensation to provide $1.6 billion to Ohio employers, equal to 100 percent of the premium employers paid in policy year 2018. ",,,,,,,,,,,Y,
9-Apr-20," The Governor announced that through the Ohio Manufacturing Alliance, 19 manufacturers have partnered with three hospital groups to begin large scale production of face shields. ",,,,,,Y,,,,,,
9-Apr-20," The Lt. Governor announced that The Christ Hospital Linder Research Center in Cincinnati received approval from the U.S. Food and Drug Administration to begin treating high-risk patients with convalescent plasma, an approach that holds potential for reducing a patients risk of dying. ",,,,,,Y,,,,,,
9-Apr-20," In partnership with the Ohio Manufacturing Alliance, JobsOhio is connecting and aligning resources through its network partners to help companies accelerate their ability to produce PPE. ",,,,,,Y,,,,,,
10-Apr-20," JobsOhio is subsidizing up to $250,000 toward the first two-week supply of PPE for health care workers and first responders at no cost through a partnership with Battelle. ",,,,,,Y,,,,,,
10-Apr-20, The Governor announced that Medicaid managed care plans and MyCare Ohio plans have reached an agreement to ease several pharmacy benefit restrictions. ,,,,,,Y,,,,,,
10-Apr-20, The Lt. Governor announced that the U.S. Food and Drug Administration granted STERIS Healthcare in Mentor a temporary Emergency Use Authorization for contaminating compatible N95 and N95-equivalent respirators. ,,,,,,Y,,,,,,
10-Apr-20," The Governor announced that JobsOhio has procured more than 1 million ounces of Ohio distillery made hand sanitizer, to be distributed to the Ohio Association foodbanks. ",,,,,,,,,,,Y,
10-Apr-20, The Governor announced a temporary permit from the Ohio Department of Transportation that will allow food vendors to sell food to truck drivers and other essential personnel who stop at any of the states 86 rest areas.  ,,,,,,,,,,,Y,
13-Apr-20, The Department of Health issued an order requiring long-term care facilities to notify residents and families within 24 hours of a resident or staff member testing positive for the virus. ,,,,,,Y,,,,,,
13-Apr-20, The Department of Health issued an order restricted the sale of in-person liquor in six border counties to Ohio residents. ,,,,,,,,,,,Y,
13-Apr-20, The Governor authorized members of the Ohio National Guard to support the Department of Rehabilitation and Correction (ODRC) medical staff at the Pickaway Correctional Institution. ,,,,,,,,,,,Y,
14-Apr-20, The Department of Health issued an order requiring local health departments to provide to their jurisdictions dispatch agency or agencies the names and address of COVID-19 positive individuals. ,,,,,,Y,,,,,,
14-Apr-20," The Lt. Governor announced that 667 critical employers  including Amazon, Walmart, and CVS Health  have listed roughly 41,000 essential job openings on the states job search portal. ",,,,,,,,,,,Y,
15-Apr-20, The Governor asked the Ohio Hospital Association to begin developing a plan to begin treating patients whose non-COVID-19 elective procedures were delayed or deferred during the emergency. ,,,,,,Y,,,,,,
15-Apr-20, The Governor announced the expansion of Ohios partnership with Battelle to extend their sterilization services to law enforcement agencies and EMS providers. ,,,,,,Y,,,,,,
15-Apr-20," The Governor announced the Ohio State University will be creating viral transport media, such as sterile solution needed to transport the swabs. ",,,,,,Y,,,,,,
