date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other,Vaccine
3-Mar-20,Governor Kate Brown wrote a letter to Vice President Pence requesting the release of additional PPE supplies from the federal governments strategic national stockpile.,,,,,,Y,,,,,Y,
5-Mar-20,"The State of Oregon reached an agreement with health insurance companies to waive cost-sharing for patients who testing for COVID-19. The agreement means that people with insurance and group health plans wont face co-payments, co-insurance, or deductibles for COVID-19 testing at in-network healthcare providers or emergency rooms. It will also cover immunization for covered people, when that becomes available.",,,,,,Y,,,,,Y,
8-Mar-20,"Governor Brown issued a state of emergency on Sunday, 9 March, 2020 as the states identified cases of novel coronavirus COVID-19 rise to 14.",,,,,,,Y,,,,,
10-Mar-20,Governor Brown issued a policy to limit transmission of COVID-19 in long-term care facilities. ,,,,,,,,,,,Y,
12-Mar-20,Governor Brown announced statewide school closures for K-12 schools in Oregon from March 16th through March 31st.,Y,,,,Y,,,,,,,
12-Mar-20,"Oregon is sending an Incident Management Team to Seattle-King Co., WA to support planners and public health officials through the Emergency Management Assistance Compact.",,,,,,,,,,,Y,
16-Mar-20,The Governor announced new statewide actions for The next four weeks regarding social distancing to reduce The spread of COVID-19,Y,,,,,,,,,Y,,
17-Mar-20," The Governor announced an extension of the statewide school closure to a total of six weeks, until April 28, and issued further guidance for Oregons public schools.",Y,,,,Y,,,,,,,
18-Mar-20," The Governor directed all Oregon hospitals, outpatient clinics, and health care providers, including veterinarians and dentists, to cease all non-emergency medical procedures to conserve personal protective equipment.",Y,,,,,Y,,,,,,
22-Mar-20," The Governor issued Executive Order 20-11, placing a 90-day moratorium on residential evictions for nonpayment.",,,,,,,,,,,Y,
23-Mar-20," The Governor issued Executive Order 20-12, directing Oregonians to stay at home to the maximum extent possible, outlining new guidance for child care facilities, and expanding the list of businesses that will be temporarily closed.",Y,,,,,,,,,,,
25-Mar-20," The Oregon Department of Consumer and Business Services issued a temporary emergency order requiring insurance companies to extend grace periods for premium payments, postpone policy cancellations and nonrenewals, and extend deadlines for reporting claims.",,,,,,,,,,,Y,
25-Mar-20," The Governor and the Oregon Department of Revenue announced an extension through July 15 for Oregon tax filing and payment deadlines for personal income taxes and some other taxes, such as corporate income and excise taxpayers.",,,,,,,,,,,Y,
25-Mar-20," The Governor called on the federal government to open a special enrollment period for Oregonians to buy health insurance and apply for federal subsidies through HealthCare.gov. Specifically, the Governor requested that the enrollment period open immediately and last at least 30 days.",,,,,,Y,,,,,Y,
25-Mar-20,"The Centers for Medicare & Medicaid Services (CMS) approved Oregons request for a Section 1135 Medicaid waiver. The approved waiver enables Oregon to provide flexibilities in Medicaid provider screening and enrollment, forgo certain pre-admission screening and annual resident review assessments, lift prior authorization requirements, allow for reimbursement facility services in alternative settings, extend fair hearing timelines, and waive public comment and tribal consultation requirements for certain changes to the Medicaid state plan.",,,,,,Y,,,,,,
26-Mar-20," The Governors office announced the Creation of the Small Business Stabilization Fund within the Oregon Community Foundation with an initial contribution of $700,000 from the Oregon Growth Fund. ",,,,,,,,,,,Y,
27-Mar-20," The Governor issued guidance on Executive Order 20-12, which directed Oregonians to Stay Home, Save Lives. Specifically, the guidance clarified: Social service agencies providing for basic food, water, shelter, and hygiene needs of any person who is unable to meet those same needs without the service providers should remain open; and, People experiencing unsheltered homelessness are not subject to enforcement under the executive order simply since they are in public and unable to stay at home. ",,,,,,,,,,,Y,
28-Mar-20, The Governor launched a statewide public awareness campaign to inform Oregonians about the urgent importance of staying home to save lives.,,,,,,,,,,,Y,
29-Mar-20," The Governor announced the states major disaster declaration was approved by the President, with funding that would provide for: Management, control and reduction of immediate threats to public health and safety;Emergency operation and coordination costs; Medical sheltering; and, Purchase and distribution of food, water, medicine and other consumable supplies, including personal protective equipment. ",,,,,,Y,,,,,Y,
31-Mar-20," The Governor announced a shipment of personal protective equipment was received from the Federal Emergency Management Agency (FEMA). The state will immediately begin processing and shipping those supplies to all 36 counties and 9 tribes, which should expect to receive shipments by or before April 6.",,,,,,Y,,,,,,
31-Mar-20, The Division of Financial Regulations highlighted three coronavirus scams for Oregonians to avoid: Scams claiming to have top-secret vaccine or miracle cure or claiming to offer government assistance or economic relief; Scams requiring downloads to view coronavirus maps; and Scams using the market downturn to convince consumers to invest in a product with a guaranteed or very high return including investments tied to COVID-19 such as medical supplies vaccines and other treatments.,,,,,,,,,,,Y,
1-Apr-20," The Governor issued Executive Order 20-13, placing a 90-day moratorium on commercial evictions for nonpayment due to business closures, specifically prohibiting landlords from charging tenants late fees for nonpayment of rent during the moratorium.",,,,,,,,,,,Y,
2-Apr-20, The Governor launched the Coronavirus Small Business Resource Navigator to connect small businesses to financial support and the information they need to ensure business sustainability.,,,,,,,,,,,Y,
4-Apr-20, The Governor offered New York 140 ventilators to assist with the states medical surge. ,,,,,,Y,,,,,,
7-Apr-20," The Governor convened the Oregon COVID-19 Medical Advisory Panel to begin developing recommendations to the Governor to address the needs of the health care system, provide advice and input, and serve as a resource to the Oregon Health Authority. ",,,,,,,,,,,Y,
7-Apr-20," The Governor issued an executive order aligning the effective date for the prohibition on dine-in food and drink consumption with that of their Stay Home, Save Lives order. ",Y,,,,,,,,,,,
8-Apr-20, The Governor extended school closures for the K-12 and post-secondary education systems through the end of the current academic term and school year. ,Y,,,,Y,,,,,,,
8-Apr-20," The Oregon Department of Education released Graduation Pathways 2020,  guidance detailing how Oregons high school seniors can earn their final set of high school credits and graduate on-time. ",,,,,Y,,,,,,,
9-Apr-20, The Oregon Department of Environmental Quality created an online emission test certification for vehicle owners in the Portland and Medford emission testing areas to renew their registrations and obtain their certification online. ,,,,,,,,,,,Y,
9-Apr-20, The Oregon Department of Revenue reminded businesses and individuals who pay their corporate or personal income tax quarterly that estimated payments for the first quarter 2020 are due April 15. ,,,,,,,,,,,Y,
9-Apr-20, The Governor announced the state has distributed its first Abbott ID NOW rapid testing instruments to three rural Oregon hospitals.,,,,Y,,,,,,,,
10-Apr-20," The Governor received 78 pallets of personal protective equipment (PPE) from the U.S. Agency for International Development (USAID), replenishing the states stockpiles of critically needed N95 masks and other PPE. ",,,,,,Y,,,,,,
11-Apr-20, The Department of Human Services and Oregon Health Authority launched a multi-agency support team to assess the needs of long-term care facilities experiencing increased cases and help them access resource to prevent further transmission among residents and staff. ,,,,,,,,,,,Y,
13-Apr-20," The Governor announced a regional partnership with California Governor Gavin Newsom and Washington Governor Jay Inslee to create a shared vision for reopening their economies and harmonize lifting social distancing measures. The Governors have centered on four overarching goals: Protect vulnerable populations at risk for severe disease if infected; Ensure an ability to care for those who may become sick with COVID-19 and other conditions; Mitigate the non-direct COVID-19 health impacts, particularly in disadvantaged communities; and, Protect the public by ensuring any successful lifting of interventions includes the development of a system of testing, tracking and isolating. ",,,,,,,,,,,Y,
13-Apr-20," The Governor announced that the Oregon Army National Guard facilitated transportation and distribution of medical personal protective equipment to all 36 counties, nine tribal nations, and two tribal health agencies in order to enhance needed supply inventories. ",,,,,,Y,,,,,,
13-Apr-20," The Governor announced the state is ramping up its enforcement activity. Specifically, Oregon OSHA will begin systematically conducting spot checks to verify that employers are complying with the requirements  including closures to the public. ",,,,,,,,,,,Y,
13-Apr-20,: The Employment Department announced that a glitch in the unemployment insurance system was telling people to start their claim process over from the beginning. They said that they were able to address many of these errors automatically and will have more information on their website as it becomes available.,,,,,,,,,,,Y,
14-Apr-20," The Governor introduced their framework for Reopening Oregon: a plan to restart public life and business while maintaining healthy communities. Once certain prerequisites are met, Oregon can begin to reopen by:Ramping up COVID-19 testing capacity in every region of Oregon;Developing robust contact tracing systems to track and contain COVID-19 cases; and,Establishing a quarantine and isolation program for new cases.",,,,,,,,,,,Y,
16-Apr-20, The Governor issued an executive order directing state and local governments to take necessary measures to facilitate public participation in decision-making  stressing the importance of civic engagement on the path to recovery. ,,,,,,,,,,,Y,
17-Apr-20, The Governor issued an executive order preventing creditors or debt collectors from garnishing federal CARES Act recovery rebate payments. ,,,,,,,,,,,Y,
20-Apr-20," The Governor announced that the Oregon National Guard will distribute approximately 395,000 pieces of personal protective equipment to all long-term care facilities in the state. ",,,,,,Y,,,,,,
21-Apr-20, The Oregon Department of Revenue issued a directive that expands relief and provides additional relief to certain affected taxpayers and extended the tax filing and payment deadline to July 15th. ,,,,,,,,,,,Y,
23-Apr-20," The Governor announced a framework to resume non-urgent procedures on May 1. Medical providers will need to demonstrate they can: Minimize the risk of coronavirus transmission to patients and healthcare workers; Maintain adequate hospital capacity in the event of a surge in COVID-19 cases; and,  Support the health care workforce in safely resuming activities.",,,,,,,,,,,Y,
23-Apr-20," The Governor launched the next phase of the states public awareness campaign to educate Oregonians about COVID-19. The campaign, Safe + Strong, focuses on community-centered outreach in 12 languages to connect people who are most at-risk of experiencing health disparities. ",,,,,,,,,,,Y,
24-Apr-20," The Governor announced that Walgreens opened one of its first testing sites in Oregon, to be overseen by on-site pharmacists. ",,,,Y,,,,,,,,
27-Apr-20," The Governor, along with California Governor Gavin Newsom and Washington Governor Jay Inslee, welcomed Colorado Governor Jared Polis and Nevada Governor Steve Sisolak to the Western States Pact  a working group of Western state governors with a shared vision for modifying stay at home and fighting COVID-19. ",,,,,,,,,,,Y,
28-Apr-20, The Oregon Occupational Safety and Health Administration adopted a temporary rule to increase protections for workers against the spread of coronavirus in employer-provided housing and in labor-intensive farm operations. ,,,,,,,,,,,Y,
1-May-20," The Governor introduced plans for COVID-19 testing and contact tracing. Key elements of the testing plan include: Voluntary, widespread testing in partnership with OHSU; Unified coordination between all hospital labs to optimize Oregons available testing capacity, acting as one statewide system which will allocate resources to meet the states testing needs in every region; and A focus on collecting data to serve at-risk communities.",,,,Y,,,,,,,Y,
4-May-20," The Governor announced a machine at the University of Oregon will be used to decontaminate N-95 respirators, allowing the critical personal protective equipment to be used up to 20 times by frontline health care workers. ",,,,,,Y,,,,,Y,
5-May-20," The Governor announced the limited opening of some state parks, outdoor recreation facilities and areas across Oregon for day use, with camping opportunities becoming available as federal, state, local, and private providers are able to prepare their facilities for visitors. ",,Y,,,,,,,,,,
5-May-20, The Oregon Department of Human Services and the Oregon Department of Education announced that Oregon families with children who are eligible for free or reduced-price school meals will get cash benefits for the meals they would have received at school even if they have been accessing meals from schools during the closure.,,,,,Y,,,,,,Y,
6-May-20," The Oregon Department of Consumer and Business Services issued an emergency order for health insurance companies, requiring them to:Provide at least a 60-day grace period to pay any past due premiums; Pay claims for any covered services during the first 30 days of the grace period; and, Extend all deadlines for reporting claims and other communications, and provide members with communication options to meet physical distancing standards.",,,,,,Y,,,,,,
7-May-20," The Governor announced additional details of the Reopening Oregon framework, including guidance for counties and businesses on the phased reopening process.",,,,,,,,,,,Y,
8-May-20,"The Centers for Medicare and Medicaid Services (CMS) approved Oregons second request for a Medicaid 1135 waiver. The waiver allows Oregon to waive consent requirements for Home and Community-Based Services(HCBS), forgo evaluation and assessment requirements for HCBS, reimburse for HCBS services provided at an entity that also provides case management services, allow for HCBS in additional settings, and to modify timelines for levels of care determinations.",,,,,,Y,,,,,,
11-May-20," The Governor, together with the Western Pact states, sent a letter to Congressional leadership requesting $1 trillion in direct and flexible relief to states and local governments to avoid deep cuts to services like public health, public safety, public education and help people get back to work.",,,,,,,,,,,Y,
14-May-20, The Governor announced 28 counties were approved to begin entering Phase 1 of reopening on May 15 under the states reopening framework.,,Y,,,,,,,,,,
15-May-20, The Governor released statewide guidance for jurisdictions and businesses across the state as they begin Phase 1 of reopening.,,,,,,,,,,,Y,
22-May-20, The Governor urged members of the public to stay local and to stay safe during the Memorial Day holiday weekend. She was joined by 26 mayors making this request of the public.,,,,,,,,,,,Y,
27-May-20, The Oregon Department of Environmental Quality shared examples of Oregonian food workers.,,,,,,,,,,,Y,
28-May-20, The Governor announced that Washington County can begin entering Phase 1 of reopening on June 1 under the states framework for a safe and strong reopening.,,,,,,,,,,,Y,
