date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other,Vaccine
5-Mar-20,"State officials have updated their travel guidance for residents. Anyone who has arrived from China or Iran, and anyone who has returned from Italy or South Korea, within the last 14 days, are required to contact the public health department and practice social distancing for 14 days post travel.",Y,,,,,,,,,,,
5-Mar-20,The state updated their interim guidance for healthcare professionals responding to potential coronavirus cases.,,,,,,,,,,,Y,
7-Mar-20,"Governor Wolf iscoordinating with legislative leaderson a package that would aim to allocate resources towards supporting county and municipal health departments, secure equipment and personnel, disseminate public health messaging, and support care for the senior population and those most at risk for infection.",,,,,,Y,,,,,Y,
10-Mar-20,The Department of Insurance issued a notice regarding preparedness plans and information for educating enrollees on their benefits for COIVD treatment and testing.,,,,,,,,,,,Y,
11-Mar-20,"Governor Wolf issued guidance on restricting travel for state employees as well as new directives to address large gatherings, telework, and paid leave for impacted employees.",Y,,,,,,,,,,,
12-Mar-20,Governor Wolf provided guidance for Montgomery County and the state of Pennsylvania on reducing the spread of the virus.,,,,,,,,,,,Y,
13-Mar-20,Governor Wolf announces closure of Pennsylvania schools.,Y,,,,Y,,,,,,,
15-Mar-20,"The Governor issued an order to close all dine-in facilities starting on March 16 in Allegheny, Bucks, Chester, Delaware, and Montgomery counties for the next 14 days.",Y,,,,,,,,,,,
16-Mar-20,"The Governor issued statewide mitigation efforts beginning on March 17 which include the following: Closing of all restaurants and dine-in services, A no-visitor policy for correctional facilities and nursing homes, Restrictions around non-essential travel, Closure of licensed childcare centers, Closure of adult day care centers, adult training facilities, Provocations facilities, LIFE centers and Senior Community Centers, Visitor restrictions for state centers to ensure health and safety for individuals with an intellectual disability, Visitor restrictions for assisted living and personal care homes to minimize exposure to our seniors and individuals with disabilities, Telework or a 10 workday paid absence for individuals who do not have telework capability.",Y,,,,,,,,,,,
16-Mar-20,The Governor issued guidance for non-essential businesses across the state to close for at least 14 days to help mitigate the spread of COVID-19.,Y,,,,,,,,,,,
18-Mar-20,"The Governors of Connecticut, New York and New Jersey announced that the Governor of Pennsylvania is joining their coalition to implement a regional approach to combatting COVID-19. The Governors expanded their previous orders to include: Limiting crowd capacity for social and recreational gatherings to 50 people; Closing restaurants and bars for on premise service and move to take-out and delivery services only; and Temporary closing of movie theaters, gyms, and casinos.",Y,,,,,,,,,,,
19-Mar-20, The Governor signed an executive order suspending all non-life-sustaining business.,Y,,,,,,,,,,,
19-Mar-20, The Governor announced the availability of low-interest loans for small businesses and eligible non-profits in all 67 counties in the state through the U.S. Small Business Administration.,,,,,,,,,,,Y,
23-Mar-20, The Governor issued targeted Stay at Home orders to seven highest-burden counties that will be in effect until April 6.,Y,,,,,,,,,,,
23-Mar-20," The Governor updated previous school closure guidance, extending the deadline to at least April 6.",Y,,,,Y,,,,,,,
24-Mar-20, The Governor posted Frequently Asked Questions related to the Executive Order mandating businesses closures for non-life-sustaining businesses and other business categories related to COVID-19 mitigation.,,,,,,,,,,,Y,
