date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other,Vaccine
1-Mar-20,"Rhode Island established an Incident Command System response to organize state agency preparedness and response activities. It includes staff from numerous state agencies, including emergency management, behavioral health, education, human services, environmental management, and others.",,,,,,,,,,,Y,
1-Mar-20,"The Rhode Island Department of Health is coordinating with other state agencies and community organizations to support anyone doing self-quarantining to ensure that people who are remaining at home have the support services they need. This includes support with everyday needs, such as prescriptions and groceries.",,,,,,,,,,,Y,
11-Mar-20,Governor Raimondo issued guidance for large events in Rhode Island to help contain the spread of COVID-19.,,,,,,,,,,,Y,
15-Mar-20,The Governor announced guidance directing all child care centers in Rhode Island to close. She also announced that The Rhode Island Department of Education will be working with local school districts to make grab and go meals available to students while schools are closed.,Y,,,,Y,,,,,,,
16-Mar-20,The Governor issued an executive order regarding restrictions for public meetings.,Y,,,,,,,,,,,
16-Mar-20,"The Governor issued an executive order regarding restrictions for restaurants, bars, entertainment venues, and public gatherings.",Y,,,,,,,,,,,
18-Mar-20, The Governor announced that public schools should implement distance learning through April 3.,Y,,,,Y,,,,,,,
18-Mar-20, The Governor signed an executive order that directs health insurers to cover telemedicine visits.,,,,,,Y,,,,,,
18-Mar-20, The Public Utilities Commission issued an emergency declaration that places a moratorium on public utilities terminating services.,,,,,,,,,,,Y,
18-Mar-20, The Department of Health announced that out-of-state health care providers can obtain a temporary 90-day license to practice in the state.,,,,,,Y,,,,,,
19-Mar-20, The Governor made several important announcements about the states evolving response strategy: State courts will not process any residential or commercial evictions for the next 30 days. Rhode Islanders who suspect price gouging or COVID-19 scams should report them to the Attorney Generals office. The state created an online form so organizations can donate laboratory supplies and personal protective equipment to fill gaps in due to increased testing demand.,,,,,,,,,,,Y,
20-Mar-20," The Governor activated the Rhode Island National Guard, allowing 1,000 Guardsmen and Guardswomen to train civilian medical personnel, staff call centers, and distribute food and necessities to the most vulnerable.",,,,,,,,,,,Y,
20-Mar-20," The Governor extended the 2019 tax filing and payment deadlines to July 15, consistent with changes made in federal law.",,,,,,,,,,,Y,
24-Mar-20, The Governor announced several initiatives designed to assist frontline workers who may need child care services.,,,,,,,,,,,Y,
