date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other,Vaccine
13-Mar-20," Governor McMaster issued an executive order that all K-12 schools, including universities, colleges, and technical colleges be closed through the end of the month.",Y,,,,Y,,,,,,,
14-Mar-20, The SC Board of Medical Examiners and the SC Board of Nursing implemented procedures to broaden licensure requirements for out of state health professionals to practice in the state during this public health emergency.,,,,,,Y,,,,,,
17-Mar-20,The Governor signed an executive order on additional measures that: Close all dine-in facilities from March 18 through March 31; Prohibit any large public gathering from March 19 through March 31; Activate the South Carolina National Guard; and Delay the state tax filing deadline.,Y,,,,,,,,,,,
19-Mar-20," The Governor signed an executive order which, among other actions: Directs all non-essential employees at each public university, college, and technical college to work from home; Waives regulations to allow unemployment claims to be expedited by at least one week; Suspends unemployment insurance payments for employers through June 1; Suspends procurement regulations for all state agencies; and Suspends enforcement of certificate of need regulations to expedite treatment.",Y,,,,,,,,,,,
20-Mar-20, The Governor announced the U.S. Small Business Administration approved the states request for the agency to offer South Carolinas small businesses with disaster assistance. All 46 counties are included in the disaster declaration.,,,,,,,,,,,Y,
21-Mar-20," The Governor issued Executive Order 2020-12, which directs the Department of Revenue to waive additional regulations to allow restaurants to include sealed containers of beer and wine for curbside pickup or to-go orders only. Additionally, the Order extends the states income tax deadline to July 15, in line with the new federal income tax deadline.",,,,,,,,,,,Y,
23-Mar-20," The Governor issued Executive Order 2020-13, authorizing law enforcement to disperse congregate groups of people that pose a clear risk to public safety.",,,,,,,,,,,Y,
30-Mar-20," The Governor issued Executive Order 2020-16 closing all public access points to state beaches, public boat ramps, landings, and other access points on the states lakes, rivers and waterways.",Y,,,,,,,,,,,
31-Mar-20," The Governor issued Executive Order 2020-17, directing the closure of non-essential businesses, as defined through the order.",Y,,,,,,,,,,,
31-Mar-20,"The Centers for Medicare & Medicaid Services (CMS) approved South Carolinas request for a Section 1135 Medicaid waiver. The approved waiver enables South Carolina to provide flexibilities in Medicaid provider screening and enrollment, forgo certain pre-admission screening and annual resident review assessments, lift prior authorization requirements, allow for reimbursement facility services in alternative settings, extend fair hearing timelines, and waive public comment and tribal consultation requirements for certain changes to the Medicaid state plan.",,,,,,Y,,,,,,
2-Apr-20," The Governor, in partnership with the South Carolina Department of Labor, Licensing and Regulation extended the license renewal deadlines for licenses, registrations, and permits scheduled to renew during the months of April, May, June, July and August to September 30.",,,,,,,,,,,Y,
