date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other,Vaccine
5-Mar-20,"Governor Noem and the South Dakota Department of Health commissioned an agency task force for coordination and planning with partners and other state agencies, developed an action plan for information management, incident management, and monitoring for persons at risk of infection, among other actions.",,,,,,,,,,,Y,
10-Mar-20,The South Dakota State Department of Health issued guidance to school administrators regarding prevention and mitigation in schools.,,,,,Y,,,,,,,
13-Mar-20,Governor Noem signed a state of emergency order for South Dakota.,,,,,,,Y,,,,,
16-Mar-20, The Governor activated the Small Business Administrations Economic Injury Disaster Loan Fund Program in South Dakota to help eligible businesses and non-profits impacted by COVID-19.,,,,,,,,,,,Y,
16-Mar-20, The Governor and her team are working closely with the U.S. Small Business Administration to activate the Economic Injury Disaster Loan Program in South Dakota. ,,,,,,,,,,,Y,
17-Mar-20, The Governor announced that all schools in South Dakota will remain closed for another week.,Y,,,,Y,,,,,,,
18-Mar-20, The Governor announced that she is working with the Small Business Administration to provide Economic Injury Disaster Loan funding to companies negatively impacted by COVID-19.,,,,,,,,,,,Y,
19-Mar-20, The Governor extended her executive order directing state employees to continue to telework through the next week and maintaining the ban on state employee work-related travel outside South Dakota.,Y,,,,,,,,,,,
23-Mar-20," The Governor issued an Executive Order, urging South Dakotans to practice CDC recommendations and implement social distancing measures; and urging businesses to modify business practices as necessary to comply with CDC guidance.",,,,,,,,,,Y,Y,
25-Mar-20, The Department Of Education issued guidance on child care for health workers and first responders during the coronavirus outbreak.,,,,,,Y,,,,,,
1-Apr-20," The Governor signed House Bill 1295 to allow necessary enforcement of applicable department directives and orders to any person with confirmed coronavirus syndrome, or any disease or condition that is the subject of a declared public health emergency.",,,,,,,,,,,Y,
1-Apr-20, The Governor signed House Bill 1298 to postpone any elections scheduled to be held between April 14 and May 26.,,,,,,,,,,,Y,
1-Apr-20, The Governor signed Senate Bill 187 amending reemployment assistance benefits.,,,,,,,,,,,Y,
1-Apr-20, The Governor signed Senate Bill 189 exempting all school districts from certain state codes for the 2019-2020 school year and waiving nationally standardized achievement tests.,,,,,Y,,,,,,,
1-Apr-20," The Governor signed Senate Bill 192, creating the small business economic disaster relief subfund and authorizing the Economic Development Finance Authority to make grants to and provide appropriations of the sub fund.",,,,,,,,,,,Y,
7-Apr-20," The Governor updated executive order 2020-12, mandating South Dakotans to comply with CDC hygiene practices, understand the signs and symptoms of COVID-19, and implement social distancing measures, among other things. ",,,,,,,,,,Y,Y,
7-Apr-20," The Governor issued executive order 2020-13, directing adults over the age of 65 with underlying medical conditions in Minnehaha and Lincoln counties to stay at home. ",Y,,,,,,,,,,,
8-Apr-20," The Governor issued executive order 2020-14, suspending certain regulations, including: Regulatory provisions governing teacher evaluations Requirements that a public body conducting a meeting by teleconference provide a physical location for the public to listen; and The provision requiring the Department of corrections to impose certain sanctions for parole violations regarding a positive urinalysis test for a controlled  substance. ",,,,,Y,,,,,,Y,
10-Apr-20," The Governor announced the launch of the Care 19 app, which will enable South Dakotans to track their movements and assist the Department of Healths contact tracing efforts. ",,,,,,,,,,,Y,
15-Apr-20, The Governor announced a partnership with Sanford Health to launch a statewide clinical trial to determine the effectiveness of hydroxychloroquine in treating and preventing POVID-19. ,,,,,,Y,,,,,,
15-Apr-20," The Governor signed an Executive Order to remove barriers to licensure for healthcare facilities, telehealth, and other regulations. ",,,,,,Y,,,,,,
20-Apr-20," The Governor signed Executive Order 2020-17 removing overstocking restrictions on pork producers, allowing for regulatory flexibility to adapt to the economic impacts of COVID-19. ",,,,,,,,,,,Y,
21-Apr-20," The Governor and the Office of Economic Development announced the first 94 recipients of Governor Noems Small Business Relief Fund, totaling more than $5 million. ",,,,,,,,,,,Y,
28-Apr-20," The Governor announced her Back to Normal plan for South Dakotans, providing guidance to individuals, employers, schools, health care providers, and local governments. The plan is enacted by Executive Order 2020-20",,,,,,,,,,,Y,
1-May-20," The Governor signed Executive Order 2020-22, updating guidance to state employees as part of the Back to Normal plan. ",,,,,,,,,,,Y,
8-May-20," The Governor sent letters to the Chairman of the Cheyenne River Sioux Tribe and the President of the Oglala Sioux Tribe, requesting checkpoints be removed from State and US highways.",,,,,,,,,,,Y,
11-May-20," The Governor signed Executive Order 2020-23, suspending statutes regarding renewal of certain alcoholic beverage licenses and the submission of financial statements for Deadwood gaming establishments.",,,,,,,,,,,Y,
15-May-20, The Governor and the Secretary of Health announced a plan to increase testing events over the course of the next four weeks.,,,,Y,,,,,,,,
18-May-20," The Governor signed Executive Order 2020-24, which temporarily suspends the regulatory provision that governs on-site visits of Level IV and Level V trauma hospitals, allowing the Department of Health to grant provisional trauma designations.The EO also suspends the statute regarding the annual inspection of funeral establishments.",,,,,,Y,,,,,Y,
26-May-20," The Governor signed two executive orders:EO 2020-25, which suspends various requirements for state licensing boards; andEO 2020-26, which extends the existing State of Emergency until December 30.",,,,,,,Y,,,,Y,
8-Jun-20, The Governor provided an outline of lessons learned from COVID-19.,,,,,,,,,,,,
9-Jun-20, The Governor announced the continuation of increased Supplemental Nutrition Assistance Program (SNAP) benefits to address food costs during COVID-19.,,,,,,,,,,,Y,
25-Jun-20, The Governor announced the use of CARES funding to replenish the South Dakota Unemployment Compensation Trust Fund.,,,,,,,,,,,Y,
29-Jul-20,"The Governor said she will push for schools to stay open this fall, but disputed any requirements for children to wear masks in classrooms.",,Y,,,,,,,,,,
3-Sep-20,"Governor Kristi Noem announced that public and private schools in South Dakota will receive an additional $75 million, or $500 per student, in new funding from the Coronavirus Relief Fund",,,,,Y,,,,,,,
9-Sep-20,Governor Kristi Noem laid out a framework for up to $400 million in Coronavirus Relief Funds (CRF) to assist South Dakota’s small businesses negatively impacted by the COVID-19 pandemic.,,,,,,,,,Y,,Y,
18-Sep-20,Governor Noem outlined a framework for $100 Million in CARES Act Funding for community-based healthcare providers,,,,,,Y,,,Y,,,
25-Sep-20,The Department of Corrections in conjunction with the Department of Health conducted another mass testing event at the South Dakota Women’s Prison. ,,,,Y,,,,,,,,
28-Sep-20,The Department of Social Services (DSS) issued additional support to child care programs  in response to the COVID-19 pandemic.,,,,,Y,,,,,,,
9-Oct-20,Governor Noem announced Small Business and Healthcare Provider Relief Program,,,,,,,,,,,Y,
22-Oct-20,Governor Noem expanded the Small Business and Healthcare Provider Relief Program,,,,,,,,,,,Y,
22-Oct-20,Governor Noem announced $10 million in CARES Act housing assistance,,,,,,,,,,,Y,
27-Oct-20,"Governor Kristi Noem announced the launch of K-12 Connect, a program to provide internet service at no cost to eligible K-12 students in their homes for the remainder of the 2020-21 school year.",,,,,Y,,,,,,,
16-Nov-20," The South Dakota Department of Health, in partnership with the South Dakota National Guard and the U.S. Department of Health and Human Services, will provide drive-thru COVID-19 testing in Rapid City",,,,Y,,,,,,,,
