date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other,Vaccine
5-Mar-20,"Governor Lee announced the formation of a task force to enhance Tennessee's coordinated efforts to prevent, identify and treat potential cases of COVID-19.",,,,,,,,,,,Y,
12-Mar-20,Governor Lee issued a State of Emergency to free up funds forthe treatment and containment of COVID-19,,,,,,,Y,,,,,
13-Mar-20," The Governor issued further guidance regarding mass gatherings, schools, state employees and the State Capitol Building as more confirmed cases of COVID-19 surface in Tennessee: Congregations and groups are urged to consider alternatives to traditional services by utilizing live streams,  pre-recorded messages and other electronic means. Events larger than 250 people are discouraged to limit exposure to COVID-19. School districts have been advised to exercise discretion when canceling school for K-12 students. The state will provide further support for districts pursuing this action but urge districts to consider the prevalence of confirmed cases of COVID-19 in their area. In partnership with districts,  students who depend on school-provided meals will still receive this support, regardless of school closure. State employees who have been trained and certified to work from home within the states Alternative Workplace Solutions program will work from home through March 31, 2020. State employees have been instructed to cease all non-essential business travel through March 31,2020. The Tennessee State Capitol is closed to tours and visitors through March 31, 2020. Members of the media will continue to have access to the State Capitol building.",Y,,,,,,,,,,,
16-Mar-20," The Governor announced limiting all remaining legislative business to fulfilling the constitutional requirement of passing a balanced budget, and any associated actions that will ensure Tennessee can keep its doors open.",Y,,,,,,,,,,,
17-Mar-20, The Governor urged all school districts in Tennessee to close by March 20 and remain closed through March 31. The Governor announced that during this time the School Food Authorities will have flexibility to continue to provide meals to at-risk students who rely on meals.,Y,,,,Y,,,,,,,
17-Mar-20," The Governor also announced the following actions: The Governor encouraged childcare facilities to remain open to support community needs and directed the Department of Human Services to relax the regulatory burden on child care centers; The state will provide $10 million in response and recovery grants to support existing childcare facilities; The Tennessee Department of Human Service issued a policy offering emergency cash assistance utilizing TANF funds. Assistance will be up to $1,000 for families of five or more who qualify and who have experienced loss of a job as a result of COVID-19; The Tennessee Department of Labor and Workforce Development is working to determine how to utilize the Unemployment Insurance Trust Fund; The Department will extend unemployment benefits to those quarantined by a physician for COVID-19; The Governors amended budget includes $200 million to provide specific relief to county and city governments.",,,,,,,,,,,Y,
22-Mar-20," The Governor issued Executive Order 17 calling on businesses to utilize alternative business models and prohibiting gatherings of 10 or more people. The order also: Orders restaurants and bars to offer only drive-thru,  take-out, or delivery, and permits closed-container alcohol take-out or delivery; Temporarily closes gyms and fitness centers; and Limits visitation to nursing homes, retirement homes, and long-term care facilities.",Y,,,,,,,,,,,
23-Mar-20," The Governor established a COVID-19 Unified Command to streamline coordination across the Tennessee Emergency Management Agency, Tennessee Department of Health and Tennessee Department of Military. The Command will be led by Commissioner Stuart McWhorter.",,,,,,,,,,,Y,
24-Mar-20," The Governor mobilized the National Guard to assist with expanding testing efforts. The mobilization consists of 250 personnel, including 150 medical personnel.",,,,Y,,,,,,,,
24-Mar-20," The Governor extended work from home orders for state employees under the Alternative Workplace Solutions program, until April 24.",Y,,,,,,,,,,,
24-Mar-20, The Governor extended statewide school closures until April 24.,Y,,,,,,,,,,,
24-Mar-20,"The Governor announced a series of administrative actions, including: Delaying the deadline to file franchise and excise taxes until July 15; Suspending the issuance of REAL ID through May 18; Waiving emissions testing requirements through May 18; Filing an emergency petition in partnership with the Attorney General,  an emergency petition asking the Tennessee Public Utility Commission to prohibit utilities from disconnecting services for non-payment during the state of emergency; and Directing the Department of Commerce and Insurance to issue guidance to providers requesting flexibility for employers and individuals.",,,,,,,,,,,Y,
25-Mar-20, The Governor announced the purchase of additional testing supplies using CDC funding.,,,,Y,,,,,,,,
25-Mar-20," The Department of Human Services announced the use of emergency response and recovery grants for existing child care facilities, allowing churches, gyms, or non-profits to register with the Department to open an emergency temporary child care facility.",,,,,,,,,,,Y,
26-Mar-20," The Governor announced the creation of Tennessee Talent Exchange, a public-private partnership with the Tennessee Grocers and Convenience Store Association, Tennessee Retail Association, and Hospitality TN to match out of work Tennesseans with companies currently experiencing business surges.",,,,,,,,,,,Y,
26-Mar-20," The Governor signed an Executive Order to better mobilize health care workers, by: Loosening restrictions around retired medical professionals returning to the workforce; Temporarily suspending continuing education requirements so professionals can continue to work through the pandemic; Calling for the availability of phone assessments for individuals with mental illness or emotional disturbances; and Expanding telemedicine efforts.",,,,,,,,,,,Y,
26-Mar-20, The Governor extended emergency cash assistance (TANF) for up to two months to families significantly impacted by COVID-19. Families who have lost employment or at least 50% of their earned income as a result of the pandemic are eligible.,,,,,,,,,,,Y,
26-Mar-20,"The Governor announced the creation of the Talent Exchange, a public-private partnership with the Tennessee Grocers and Convenience Store Association, Tennessee Retail Association, and Hospitality TN to match out-of-work individuals with companies currently experiencing business surges.",,,,,,,,,,,Y,
29-Mar-20," The COVID-19 Unified Command announced coordination with the Gallatin Center for Rehabilitation and Healing to address the COVID-19 outbreak at the facility: The transport of 23 residents to Sumner Regional Medical Center via an ambulance strike team of EMS Professionals on Friday,  March 27; Engagement of the National Guard on-site to assist with testing; Isolation of staff members who tested positive; and Deep cleaning and disinfecting of the facility.",,,,,,,,,,,Y,
30-Mar-20," The Governor issued an executive order issuing Shelter in Place guidelines, which will remain in effect until April 14.",Y,,,,,,,,,,,
30-Mar-20, The Unified Command announced a partnership with LaunchTN to work with Tennessee businesses and entrepreneurs willing to switch production to make PPE.,,,,,,,,,,,Y,
31-Mar-20," The Department of Mental Health and Substance Abuse Services is working with behavioral health providers to expand service to individuals who need professional behavioral health help, including expanded telehealth services and mobile behavioral health care units.",,,,,,Y,,,,,,
31-Mar-20,"The Centers for Medicare & Medicaid Services (CMS) approved Tennessees request for a Section 1135 Medicaid waiver. The approved waiver enables Tennessee to provide flexibilities in Medicaid provider screening and enrollment, forgo certain pre-admission screening and annual resident review assessments, and allow for reimbursement facility services in alternative settings.",,,,,,Y,,,,,,
1-Apr-20, The Governor announced coordination with the Army Corps of Engineers to prepare for a surge of hospitalizations.,,,,,,Y,,,,,,
2-Apr-20, The Governor signed an executive order requiring Tennesseans to stay at home except for essential activities.,Y,,,,,,,,,,,
2-Apr-20," President Trump approved Tennessees major disaster declaration, accelerating coordination with the Army Corps of Engineers and expanding statewide capacity by 7,000 beds.",,,,,,,,,,,Y,
3-Apr-20," The Governor issued an executive order, which: Grants with Commissioner of Health authority to expand telemedicine and allow post-degree, pre-licensed mental or behavioral health professionals to treat patients; Suspends and extends deadlines for filing and paying taxes and applying for tax relief; Grants the Commissioner of Labor and Workforce Development discretion to require expedited information in processing unemployment benefits claims; Extends the law against price gouging for an additional 15 days; Suspends the expiration of marriage licenses; Extends the deadline for law enforcement officers to complete certain introductory POST Commission courses; Extends the due date for driver license reinstatement installment payments; Provides flexibility for Tennessee Corrections Institute county jail plans; andSuspends requirements regarding deposit of funds at walk-in state service location. ",,,,,,,,,,,Y,
6-Apr-20," The Governor announced $200 million in grants to be distributed to every county and city government across the state for one-time, local expenses. ",,,,,,,,,,,Y,
6-Apr-20, The Governor announced $10 million in Small and Rural Hospital Readiness Grants to support hospitals.,,,,,,Y,,,,,Y,
6-Apr-20, The Tennessee Division of TennCare submitted a waiver to the federal government seeking matching dollars to address the uninsured population. ,,,,,,,,,,,Y,
