date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other,Vaccine
6-Mar-20,"Governor Abbott issued a statement regarding price-gouging of medical supplies, pointing out that should there be extensive reports of price-gouging,The Governor can grant the Texas Attorney General broader powers to prosecute those cases.",,,,,,,,,,,Y,
11-Mar-20,"Governor Abbott and the Texas Department of Insurance requested insurersand HMOs to waive copayments, co-insurance, and deductibles for testing and telemedicine visits for the diagnosis of coronavirus, that is consistent with CDC guidance.",,,,,,Y,,,,,Y,
11-Mar-20,Governor Abbott and the Texas Department of State Health Service surged  Texans to take preventative measures,,,,,,,,,,,Y,
12-Mar-20,"Governor Abbott hosted a call with Texas legislators, mayors, and judges, reiterating state support in the form of resources and supplies, as well as encouragingl ocals to track expenses for potential federal reimbursement.",,,,,,,,,,,Y,
13-Mar-20,The Governor declared a state of disaster in Texas due to COVID-19.,,,,,,,Y,,,,,
16-Mar-20,"The Governor announced that he has waived the State of Texas Assessments of Academic Readiness testing requirements for the 2019-2020 school year. Additionally,The Governor is requesting that the Department of Education waive federal testing requirements for the 2019-2020 school year.",,,,,Y,,,,,,,
16-Mar-20,"The Governor announced that Texas is waiving certain rules relating to vehicle registration, parking placards for persons with disabilities, and titling to aid the states efforts to combat COVID-19.",,,,,,,,,,,,
16-Mar-20,The Governor granted the Office of the Attorney Generals request for suspension of certain open-meeting statutes. This temporary suspension will allow for telephonic or videoconference meetings of governmental bodies that are accessible to the public in an effort to reduce in-person meetings that assemble large groups of people.,,,,,,,,,,,Y,
17-Mar-20,The Texas Department of State Health Services confirmed the first death as a result of COVID-19.,,,,,,,,,,,Y,
17-Mar-20,The Governor activated the National Guard in preparation to assist with the COVID-19 response. The activation excludes first responders and health care workers so they may continue to serve in their respective fields.,,,,,,Y,,,,,Y,
17-Mar-20,The Governor granted waivers to allow hospitals to increase the total number of unused beds without having to apply or pay additional fees in addition to directing the Texas Department of Insurance to issue an emergency rule regarding telemedicine care for patients.,,,,,,Y,,,,,,
17-Mar-20,"The Governor requested designation from the Small Business Administration Economic Injury Disaster Declaration in order to access the Economic Injury Disaster Loan to provide long-term, low-interest loans to affected and qualified businesses across Texas.",,,,,,,,,,,Y,
18-Mar-20,"The Governor directed the Department of Public Safety to temporarily waive expiration dates on driver licenses, commercial driver licenses, and other forms of identification.",,,,,,,,,,,Y,
18-Mar-20,The Governor issued a proclamation suspending provisions of the Texas Election Code in order to allow political subdivisions to postpone 2020 local elections. Local government will have the ability to postpone May 2 elections until November 3.,,,Y,,,,,,,,,
18-Mar-20,"The Texas Education Agency (TEA) announced a collaboration with Local Education Agencies (LEA) on the Texas Students MealFinder Map launching March 20. The map, available on the TEA website, will allow parents to locate LEA facilities serving meals to the community.",,,,,,,,,,,Y,
