date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other,Vaccine
2-Mar-20,Governor Scott established a COVID-19 Task Force to support the states ongoing public health response,,,,,,,,,,,Y,
6-Mar-20,"The Vermont Department of Financial Regulation issued an Insurance Bulletin instructing all health insurers in Vermont to cover any medically necessary COVID-19 testing with no co-payment, coinsurance or deductible.",,,,,,Y,,,,,Y,
10-Mar-20,Governor Scott activated the State Emergency Operations Center to expand the states capacity to coordinate and respond to COVID-19.,,,,,,,,,,,Y,
10-Mar-20,The Vermont Department of Health issued guidance to healthcare providers and workers regarding death certification and disposition of remains for patients with COVID-19.,,,,,,Y,,,,,Y,
13-Mar-20,Governor Scott declared a state of emergency,,,,,,,Y,,,,,
15-Mar-20,"The Governor announced a Continuity of Education Plan for the orderly dismissal of all schools, and cancellation of all school related activities, no later than March 18.",Y,,,,Y,,,,,,,
16-Mar-20,"The Governor announced new guidance and action taken in response to COVID-19: Restricting the size of mass gatherings to the lesser of 50 people or 50% of the occupancy of certain facilities. The closure of all bars and restaurants statewide. Establishments can continue to offer food takeout and delivery service. This measure is effective beginning 2:00 PM on March 17 and is in effect until April 6; and State government agencies and departments are working to transition the state employee workforce to remote work, while also implementing measures to limit person to person transactions in state offices.",Y,,,,,,,,,,,
17-Mar-20,The Governor issued guidance to childcare centers to close normal operations but continue essential operations as needed to provide childcare to workers essential to the COVID-19 response.,Y,,,,,,,,,,,
17-Mar-20,"The Vermont Agencies of Education and Human Services issued official guidance regarding Supporting the Childcare Needs of Essential Persons During a Novel Coronavirus Outbreak, in line withThe Governors directive for schools to provide childcare to essential persons in the states COVID-19 response.",,,,,Y,Y,,,,,Y,
18-Mar-20,Vermont designated grocery employees as emergency workers.,,,,,,,,,,,Y,
19-Mar-20,Vermont Governor Scott issued a gubernatorial directive to the Department of Liquor and Lottery amending regulations related to onsite alcoholic beverage consumption in support of small businesses affected by restaurant closures.,,,,,,,,,,,Y,
20-Mar-20,The Governor announced the availability of U.S. Small Business Administration Economic Injury Disaster Loans of up to $2 million for Vermont small businesses.,,,,,,,,,,,Y,
21-Mar-20,"The Governor announced additional mitigation measures prohibiting in-person operations at businesses unable to comply with social-distancing guidelines, including gyms, fitness centers, salons, spas, and tattoo parlors.",Y,,,,,,,,,,,
23-Mar-20,The Governor announced that the Vermont Department of Public Service has released an interactive Public Wi-Fi Hot Spot Map to help citizens connect to public internet.,,,,,,,,,,,Y,
24-Mar-20,"The Governor issued a Stay at Home Order directing Vermonters to leave their homes only for critical reasons, and suspending in-person operations of all businesses and not-for-profit entities not expressly exempt.",Y,,,,,,,,,,,
26-Mar-20,The Governor directed schools to remain closed through the end of the 2019-2020 academic year.,Y,,,,Y,,,,,,,
26-Mar-20, The Division of Children and Families released Financial Incentives to Child Care Programs serving the COVID-19 Essential Critical Infrastructure Workforce.,,,,,,,,,,,Y,
30-Mar-20,"The Governor ordered additional restrictions on travelers arriving in Vermont, including a 14-day self-quarantine for all travelers and request for those from areas identified as COVID-19 hot spots to not travel to the state.",Y,,,,,,,,,,,
30-Mar-20,"The Centers for Medicare & Medicaid Services (CMS) approved Vermont's request for a Section 1135 Medicaid waiver. The approved waiver enables Vermont to provide flexibilities in Medicaid provider screening and enrollment, forgo certain pre-admission screening and annual resident review assessments, lift prior authorization requirements, allow for reimbursement facility services in alternative settings, and extend fair hearing timelines.",,,,,,Y,,,,,,
31-Mar-20,The Governor announced the launch of a website allowing people to sign up to volunteer to support the states COVID-19 response. The website will direct Vermonters to the appropriate volunteer program based on their skills.,,,,,,,,,,,Y,
1-Apr-20,The Governor announced that public safety officials are monitoring vehicle traffic along the border to track the flow of out-of-state traffic into Vermont.,,,,,,,,,,,Y,
1-Apr-20,The Agency of Commerce and Community Development launched a new website to help affected businesses navigate new state and federal aid programs.,,,,,,,,,,,Y,
2-Apr-20,The Governor announced coordination with the Vermont National Guard to prepare communities and hospitals to increase capacity for a medical surge. The National Guard is creating two additional capacity care sites in addition to regionally deployed sites.,,,,,,Y,,,,,Y,
3-Apr-20,"The Governor issued an order clarifying that the expiration date of all previous orders and guidance must comply with the April 15 expiration date provided in the Stay Home, Stay Safe order. ",,,,,,,,,,,Y,
7-Apr-20,The Governor submitted a request for a federal disaster declaration. ,,,,,,,,,,,Y,
8-Apr-20,The Governor announced  the approval of Vermont's request for a federal disaster declaration. ,,,,,,,,,,,Y,
