date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other,Vaccine
4-Mar-20,"Governor Justice held a meeting to discuss coordination of precautionary measures and preparations for COVID-19. Following the meeting, Governor Justice announced that he had issued a State Preparedness Plan for West Virginia.",,,,,,,,,,,Y,
4-Mar-20,Governor Justiceissued a State of Preparedness Proclamation.,,,,,,,,,,,Y,
9-Mar-20,The West Virginia Department of Health and Human Services announcedthe creation of a hotline to answer questions of the public and medical providers concerning COVID-19.,,,,,,Y,,,,,Y,
12-Mar-20,"Governor Justice announced a state employee travel ban on out-of-state and international travel and asked West Virginians to reconsider non-essential, personal travel.",Y,,,,,,,,,,,
12-Mar-20,"Governor Justice issued guidance to State government office to avoid hosting large meetings, authorized emergency exemptions for the acquisition ofhealth supplies, and asked WVSSAC to suspend both the boys and girls WV High School State School Basketball Tournaments.",Y,,,,,,,,,,,
14-Mar-20,"The Governor announced the closure of K-12 schools in the state and issued the following updates: All schools will remain closed to students through at least March 27. Essential staff, as determined by each county board of education, will report March 16 through March 18 to develop continuity plans for students. All teachers, staff, and school service personnel will report March 19 and March 20. County boards of education will determine staff requirements for March 23 and beyond. ",Y,,,,Y,,,,,,,
16-Mar-20,"The Governor declared a State of Emergency ordering the West Virginia Department of Health and Human Resources, West Virginia Division of Homeland Security, and Emergency Management and the West Virginia National Guard to mobilize appropriate personnel and resources to respond to the emergency. The state of emergency orders that it is unlawful for any person, business, or other entity to sell any food items, essential consumer items, and emergency supplies in a manner that violates the West Virginia Consumer Credit and Protection Act, which protects consumer from price gouging and unfair pricing practices during and shortly after a State of Emergency.",,,,,,,Y,,,,,
16-Mar-20,"The Governor highlighted other steps the state is taking, including the West Virginia Department of Educations successful opening of more than 500 sites around the state to ensure children who require school breakfasts and lunches will receive meals during the recently announced statewide school closure.",,,,,Y,,,,,,Y,
17-Mar-20,"The Governor confirmed West Virginias first case of COVID-19.The Governor also ordered the immediate closure of all restaurants, bars, and casinos, permitting only drive-thru operations.",Y,,,,,,,,,,Y,
18-Mar-20,"The Governor issued an executive order closing fitness centers, gymnasiums, recreation centers, and similar recreation locations statewide.",Y,,,,,,,,,,,
19-Mar-20,"The Governor issued an executive order closing barbershops, hair salons, and nail salons, effective at midnight.",Y,,,,,,,,,,,
19-Mar-20,The Governor directed the West Virginia Department of Commerce and Workforce to provide unemployment benefits to those affected by COVID-19 to the maximum extent possible.,,,,,,,,,,,Y,
19-Mar-20, The West Virginia Department of Transportation announced that Welcome Centers and Rest Areas will remain open to travelers during the state of emergency.,,Y,,,,,,,,,,
20-Mar-20, The West Virginia Department of Health and Human Services announced its Vital Registration Office will close to the public until further notice.,Y,,,,,,,,,,,
20-Mar-20,The Governor issued an Executive Order mandating statewide closure of all West Virginia state park lodges and closure of the Hatfield McCoy Trail to the general public.,Y,,,,,,,,,,,
21-Mar-20,"The Governor urged West Virginians to stay home as much as possible, and businesses to allow employees to telework if possible.",,,,,,,,,,,Y,
22-Mar-20,The Governor announced The West Virginia Work Remote Connection Initiative (WV-WRC). WV-WRC is offered to any small-to-medium sized business across the state to address the lack of network capacity and bandwidth to support remote workers. The program offers secure server and connectivity to any business that needs it at no cost for 90 days.,,,,,,,,,,,Y,
23-Mar-20,"The Governor issued a Stay at Home order, ordering all West Virginians to stay at home except for essential needs. The order will remain in place until terminated by a subsequent Executive Order.",Y,,,,,,,,,,,
25-Mar-20,The Governor extended the statewide school closure until April 20.,Y,,,,Y,,,,,,,
25-Mar-20,The Governor announced the extension of the state income tax filing and payment deadline until July 15 and waived interest and penalties on property tax filings until May 1.,,,,,,,,,,,Y,
25-Mar-20,The Cabinet Secretary of the Health and Human Services Agency declared that all child care not serving essential personnel should close.,Y,,,,,,,,,,,
26-Mar-20,The Governor appointed Dr. Clay March as the State CCOVID-19 Czar.,,,,,,,,,,,Y,
26-Mar-20, The Secretary of the Department of Health and Human Resources and the State Public Health Officer announced that testing and treatment for all uninsured individuals will be covered by WV Medicaid during the national state of emergency.,,,,Y,,,,,,,,
30-Mar-20,The Governor issued an executive order requiring out-of-state citizens to self-quarantine for 14 days on arrival into West Virginia.,Y,,,,,,,,,,,
30-Mar-20,"The Centers for Medicare & Medicaid Services (CMS) approved West Virginias request for a Section 1135 Medicaid waiver. The approved waiver enables West Virginia to provide flexibilities in Medicaid provider screening and enrollment, forgo certain pre-admission screening and annual resident review assessments, lift prior authorization requirements, allow for reimbursement facility services in alternative settings, extend fair hearing timelines, and waive public comment and tribal consultation requirements for certain changes to the Medicaid state plan.",,,,,,Y,,,,,,
31-Mar-20,The Governor issued an executive order suspending elective medical procedures.,Y,,,,,,,,,,,
31-Mar-20,The Governor issued an executive order directing private campgrounds to prohibit new out-of-state campers.,Y,,,,,,,,,,,
31-Mar-20,The Governor issued an executive order granting discretion to the Board of Nursing to waive requirements that may hinder delivery of necessary medical procedures.,,,,,,,,,,,Y,
1-Apr-20,"The Governor signed an executive order, delaying the states Primary Election to June 9 from May 12.",Y,,,,,,,,,,,
3-Apr-20,"The Governor issued an executive order, directing:Gatherings to be limited to a maximum of five (5) people;All businesses to require telework to the extent possible;Local health departments to establish maximum occupancy and social distancing standards in essential businesses;The West Virginia National Guard to provide logistical support and services; andThe West Virginia State Police to assist in enforcement of local county orders.",Y,,,,,,,,,,,
3-Apr-20,The Governor directed additional resources to Workforce WV to assist with the processing of unemployment claims. ,,,,,,,,,,,Y,
3-Apr-20,The Governor announced the approval of a federal major disaster declaration for the state of West Virginia. ,,,,,,,,,,,Y,
4-Apr-20,"The Governor issued an executive order, expanding his April 3 executive order to include several more counties. ",Y,,,,,,,,,,,
8-Apr-20,"The Governor issued an executive order, designating seven West Virginia counties as areas where local Health Department officials have broader powers to tighten restrictions to prevent further spread.",Y,,,,,,,,,,,
9-Apr-20,"The Governor issued an Executive Order, which:Mandates that all public and private golf courses follow proper cleaning protocols and take additional steps to ensure proper social distancing;Allows municipalities to delay an election previously scheduled by municipal charter prior to June 1;Allows a municipality to hold its election on the same date as the state primary election scheduled for June 9;Suspends certain statutory regulations relating to the West Virginia Board of Examiners in Counseling; and Suspends certain statutory regulations relating to the deadlines for license renewals and fee payments to the West Virginia Alcohol Beverage Control Administration.  ",,,,,,,,,,Y,Y,
10-Apr-20,"The Governor announced a hero pay grant in the amount of $100,000 to each county to distribute at discretion to reward front line workers. ",,,,,,,,,,,Y,
10-Apr-20,"The Governor added four counties (Cabell, Ohio, Wayne and Wood) to the Emergency Order enabling counties to further tighten social distancing measures and tighten rules surrounding essential services. ",Y,,,,,,,,,Y,,
13-Apr-20," The West Virginia National Guard, in collaboration with researchers from West Virginia University, academia, and business and industry leaders, announced a coordinated effort to address personal protective equipment (PPE) shortages. ",,,,,,Y,,,,,,
15-Apr-20,The Governor announced discussions with medical experts and state officials regarding Phase 2 of the states response. ,,,,,,,,,,,Y,
16-Apr-20,The Governor announced the receipt of $625 million in federal funding to assist the states COVID-19 response. ,,,,,,,,,,,Y,
17-Apr-20,The Governor directed the West Virginia Department of Health and Human Resources and the West Virginia National Guard to test all nursing home residents and staff members.,,,,Y,,,,,,,Y,
21-Apr-20,The Governor announced that all K-12 schools will remain closed for the remiainder of the academic year. ,Y,,,,Y,,,,,,,
21-Apr-20,"The Governor and the West Virginia Department of Health and Human Resources announced a free smartphone app to reduce isolation and offer support and resources to West Virginians with Substance Use Disorder, allowing providers to stay connected and engaged with their patients. ",,,,,,,,,,,Y,
22-Apr-20,The Governor announced that the two mobile testing laboratories established by the West Virginia National Guard are activated for use. ,,,,Y,,,,,,,,
23-Apr-20,"The Governor announced that staff from Workforce West Virginia, with assistance from the West Virginia National Guard, have cleared the backlog of unemployment claims that have been submitted consequent of COVID-19. ",,,,,,,,,,,Y,
24-Apr-20,"The Governor sent a letter to the Director of the Federal Bureau of Prisons, urging him to reconsider the decision to transfer out-of-state inmates to West Virginias Hazelton facility during the COVID-19 pandemic. ",,,,,,,,,,,Y,
24-Apr-20,The Governor announced plans to begin testing staff members at West Virginia daycares so the facilities can begin reopening. ,,Y,,Y,,,,,,,,
27-Apr-20,"The Governor unveiled West Virginia Strong  The Comeback, the states plan to reopen in phases over the next six weeks, provided the rate of positive COVID-19 cases remains low. ",,Y,,,,,,,,,,
28-Apr-20,"The Governor provided additional guidelines to small businesses, restaurants with takeaway services, religious entities, and funeral homes as part of Week 2 operations under the West Virginia Strong The Comeback plan.",,Y,,,,,,,,,,
28-Apr-20,"The Governor announced that the West Virginia Division of Homeland Security and Emergency Management (DHSEM) has secured access to a high-capacity decontamination system for PPE, in coordination with FEMA and the State of Virginia. ",,,,,,Y,,,,,,
28-Apr-20,"The Governor signed an executive order, suspending regulatory provisions to provide greater flexibility to dentists and speech-language pathologists. ",,,,,,Y,,,,,Y,
29-Apr-20,The Governor announced the launch of Phase 1 of West Virginias reopening to begin on April 30. Phase 1 permits outpatient healthcare operations to resume and daycare services to reopen. ,,Y,,,,,,,,,,
29-Apr-20,The Governor announced that COVID-19 testing has been completed for all residents and staff at the Veterans Nursing Facility in Clarksburg. All 306 tests came back negative. ,,,,Y,,,,,,,,
30-Apr-20,"The Governor announced that a Safer at Home order will replace the states current Stay at Home order, effective May 4. ",,Y,,,,,,,,,,
1-May-20,"The Governor announced Week 2 reopening to begin on  May 4, permitting small businesses with 10 or fewer employees, restaurants with takeaway service or outdoor dining options, as well as religious      entities and funeral homes to reopen. ",,Y,,,,,,,,,,
3-May-20,The Governor removed three counties from the list of  West Virginia hot spots for COVID-19. ,,,,,,,,,,,Y,
4-May-20,"The Governor announced Week 3 of West Virginias Comeback, to begin on May 11. The phase will include reopening of wellness centers operated by or with West Virginia Licensed Health Care providers and drive-in movie theaters. ",,Y,,,,,,,,,,
5-May-20,The Governor announced that West Virginians who have exhausted their regular unemployment benefits are eligible for Pandemic Emergency Unemployment Compensation  a 13-week extension on unemployment benefits provided by  the CARES Act.,,,,,,,,,,,Y,
6-May-20,"The Governor issued an Executive Order directing the West Virginia Department of Health and Human Resources and the West Virginia National Guard to test all daycare employees, as well as residents and staff members of assisted living facilities and residential care communities.",,,,,,,,,,,,
6-May-20,The Governors newly established COVID-19 Advisory Commission on African American Disparities announced an enhanced testing initiative focused on African American communities.,,,,Y,,,,,,,,
8-May-20,The Governor announced the limited reopening of the Hatfield-McCoy Trail System as part of the West Virginia Strong  The Comeback plan.,,Y,,,,,,,,,,
11-May-20,"The Governor announced the next wave of businesses and activities permitted as part of Week 4 of the West Virginia Strong  The Comeback plan. In Week 4, the following services are permitted to reopen, with limitations:Indoor restaurant dining at 50% capacity;Large and specialty retail stores;State park campgrounds for in-state residents only;Outdoor recreation rentals;Outdoor motorsport and powersport racing with no spectators; andHatfield McCoy Trail System.",,Y,,,,,,,,,,
13-May-20,"The Governor added tanning businesses to the list of entities permitted to reopen, with limitations, as part of Week 4 of the states reopening plan.",,Y,,,,,,,,,,
14-May-20,"The Governor announced that fitness centers, gymnasiums, and recreation centers have been added to the list of entities that will be allowed to resume operations under the next phase of the reopening plan.The Governor also announced that whitewater rafting and ziplining businesses as well as rock climbing businesses will be permitted to reopen, with restrictions, beginning May 21 and May 15, respectively.",,Y,,,,,,,,,,
14-May-20,The Governor and the West Virginia Department of Health and Human Resources announced a plan to increase testing opportunities for minorities and other vulnerable populations in medically underserved communities.,,,,Y,,,,,,,,
15-May-20,"The Governor added gymnastics, dance, cheerleading, and martial arts to the list of recreational activities allowed to resume operations on May 18.The Governor also issued an Executive Order, formalizing the May 18 reopening.",,Y,,,,,,,,,,
18-May-20,"The Governor added several businesses and entities to the list of May 26 reopenings including shopping malls, indoor and outdoor bars, museums and visitor centers, and zoos.",,Y,,,,,,,,,,
19-May-20,"The Governor signed an executive order, allowing Week 4 businesses to begin reopening on May 21.",,Y,,,,,,,,,,
19-May-20,The Governor issued additional guidance documents for businesses and entities that are part of Week 5 reopening under the states Comeback plan.,,,,,,,,,,,Y,
20-May-20,The Governor announced that West Virginia State Parks will offer historic discounts on lodging for West Virginia residents between June 1 and Aug 31.,,,,,,,,,,,Y,
20-May-20,"The Governor announced continued efforts to test susceptible populations across West Virginia, providing free, optional testing to all residents in several counties experiencing higher rates of COVID-19.",,,,,,,,,,,Y,
21-May-20,"The Governor announced that swimming pools, bowling alleys, pool halls, roller rinks, and other indoor amusement locations will be permitted to reopen on May 30, under additional guidelines.The Governor also added movie theaters to the list of establishments reopening under Week 6 of the states comeback plan.",,Y,,,,,,,,,,
22-May-20,The Governor provided an update on the increased monitoring efforts in two Eastern Panhandle counties that triggered the states Heightened Alert System.,,,,,,,,,,,Y,
22-May-20,"The Governor signed an executive order to formally allow businesses scheduled to reopen on May 26 to resume operations on that date. Businesses permitted to reopen, with restrictions, include:State Park cabins and lodges to in-state residents;Indoor bars at 50% capacity and outdoor bars;Museums and visitor centers; andZoos.",,Y,,,,,,,,,,
26-May-20,"The Governor announced the launch of Week 5 of the states Comeback plan.The Governor also announced that beginning on May 30, the following businesses may resume operations:Spas and massage businesses;Limited video lottery retailers;Swimming pools; andBowling Alleys, pool halls, roller rinks, and other places with indoor amusement.",,Y,,,,,,,,,,
26-May-20,The Governor announced the completion of all testing for inmates and staff at Huttonsville Correctional Center and Jail.,,,,Y,,,,,,,,
26-May-20,"The Governor announced the continuation of efforts to test susceptible populations across the state, with testing in Fayette County continuing through May 28.",,,,Y,,,,,,,,
27-May-20,"The Governor and Maj. General of the West Virginia National Guard discussed several products recently developed in the state in response to COVID-19, including 3D-printer testing swabs, reusable medical gowns, nationally regarded protective masks, and hydrogen peroxide disinfecting systems.",,,,,,Y,,,,,Y,
28-May-20,"The Governor announced that he has ordered all inmates and employees at every corrections facility across West Virginia to be tested, as a precautionary measure in efforts to curtail the spread of the virus.",,,,Y,,,,,,,,
29-May-20,"The Governor signed an executive order, formally allowing scheduled businesses to reopen, with limitations, on May 30. Businesses permitted to reopen include:Spas and massages businesses;Limited video lottery retailers;Swimming pools; andBowling alleys, pool halls, roller rinks, and other indoor amusement.",,Y,,,,,,,,,,
29-May-20,The Governor announced that WVSSAC-sanctioned high school and middle school athletic programs and bands will be allowed to resume their summer training programs beginning June 8.The Governor also announced that low-contact outdoor youth sports and little league organizations will be permitted to resume practices on June 8.,,Y,,,Y,,,,,,,
29-May-20,"The Governor released guidance to movie theaters, scheduled to reopen on June 5.",,Y,,,,,,,,,,
1-Jun-20,"The Governor announced the beginning of Week 6 of the states Comeback plan. Week 6 will begin on June 5, and permit casinos and movie theaters to resume operations.",,Y,,,,,,,,,,
2-Jun-20,The Governor reminded West Virginias of free testing opportunities for minorities and other vulnerable populations.,,,,Y,,,,,,,,
3-Jun-20,"The Governor announced that private and state park campgrounds, along with state park lodges and cabins, will be allowed to reopen to out-of-state guests beginning on June 10.",,Y,,,,,,,,,,
3-Jun-20,The Governor released new guidance for resuming low-contact sports for participants of all ages.The Governor also announced new guidance for bingo halls.,,Y,,,,,,,,,,
5-Jun-20,The Governor signed an executive order formally allowing week 7 reopenings to begin on June 8.,,,,,,,,,,,Y,
8-Jun-20,"The Governor signed an executive order formally permitting entities scheduled to reopen on June 10, to do so.",,Y,,,,,,,,,,
8-Jun-20,"The Governor announced that summer youth camps may resume operations on June 22, provided that additional guidelines are followed.The Governor also announced that outdoor, open-air concerts at fairs and festivals will be allowed to resume, along with the reopening of fairs and festivals, on July 1.",,Y,,,,,,,,,,
10-Jun-20,"The Governor announced a multi-phased plan to resume visitation at West Virginia nursing homes. The plan stipulates that, beginning June 17, if a nursing home has had no active COVID-19 cases for at least 14 days, visitations will be permitted to resume, with certain restrictions in place.",,Y,,,,,,,,,,
10-Jun-20,The Governor announced that the West Virginia Board of Education and State Superintendent of Schools have released guidance for counties to begin hosting in-person graduation ceremonies beginning June 22.,,Y,,,Y,,,,,,,
10-Jun-20,"The Governor announced that all outdoor, open-air concerts will be permitted to resume, following strict safety guidelines, beginning July 1.",,Y,,,,,,,,,,
12-Jun-20,The Governor announced that all inmates and employees at each of the states correctional facilities have been tested for COVID-19.,,,,Y,,,,,,,,
15-Jun-20,The Governor announced that $6.3 million in CARES Act grant funding has been distributed across the state.,,,,,,,,,,,Y,
15-Jun-20,The Governor announced the beginning of Week 8 of the states Comeback plan.,,,,,,,,,,,Y,
19-Jun-20,The Governor signed an executive order formally allowing scheduled Week 9 reopenings to begin on June 22. Approved reopenings include: Youth sports games with spectators; Outdoor sporting events with spectators; Outdoor equestrian events with spectators; and Summer Youth Camps.,,Y,,,,,,,,,,
24-Jun-20,"The Governor announced that the DHHR’s Bureau for Children and Families will issue a one-time payment to foster care families, child placing agencies, and residential and emergency shelters to support costs related to the COVID-19.",,,,,,,,,,,Y,
26-Jun-20," The Governor announced a proposed distribution of $1.25 billion in federal CARES Act funding to local governments, small businesses, Fairmont hospital, and other COVID-19 public projects.",,,,,,,,,,,Y,
30-Jun-20," The Governor issued an executive order suspending the regulatory statute requiring that racetrack table game licensees pay the West Virginia Lottery Commission as part of their application for renewal by July 1, 2020, extending the due date until October 1, 2020.",,,,,,,,,,,Y,
1-Jul-20," The Governor issued an executive order formally permitting the reopening of fairs, festivals, amusement parks, rides, and outdoor open-air concerts.",,Y,,,,,,,,,,
6-Jul-20,The Governor issued an executive order to establish a statewide indoor face covering requirement.,Y,,,,,,,,,,,
8-Jul-20, The Governor and State education leaders announced that they are tentatively targeting September 8 to resume student instruction in school buildings across the state.  ,,,,,Y,,,,,,,
13-Jul-20,"The Governor issued an executive order, reducing the statewide social gathering limit from 100 to 25 individuals. The executive order also closes all fairs, festivals, and similar events, and prohibits both indoor and outdoor concerts statewide.",Y,,,,,,,,,,,
13-Jul-20,"The Governor issued an executive order, closing all bars in Monongalia County for 10 days, in response to a significant spike in cases.",Y,,,,,,,,,,,
15-Jul-20,"The Governor announced that applications for small businesses seeking to receive funding through the Governor’s West Virginia CARES Act Small Business Grant Program, are now live online. ",,,,,,,,,,,Y,
