date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other,Vaccine
9-Mar-20,"Governor Gordon addressed the Wyoming legislature regarding members who attended CPAC, advising members to monitor their  health and followrecommendations of health care professionals.",,,,,,,,,,,Y,
13-Mar-20,Governor Gordon declared a state of emergency in Wyoming.,,,,,,,Y,,,,,
15-Mar-20,The Governor recommended that all schools remain closed until April 3. The recommendation must go to ocal superintendents and school boards who have final authority on the issue.,,,Y,,,,,,,,,
16-Mar-20,The Governor created five task forces each to be headed up by the states top five elected officials in response to the coronavirus pandemic.,,,,,,,,,,,Y,
16-Mar-20,The Wyoming Department of Health released priority recommendations for Wyoming residents in response to COVID-19.,,,,,,,,,,,Y,
17-Mar-20,The Governor announced the creation of five coronavirus task forces  each led by one of the five top-elected officials  to coordinate COVID-19 response efforts.,,,,,,,,,,,Y,
19-Mar-20,"The Wyoming Department of Health issued a public health order implementing emergency measures to close, restaurants, bars, theaters, gymnasiums, child care facilities, K-12 schools, colleges, universities, and trade schools, with certain exceptions.",Y,,,,,,,,,,,
20-Mar-20,The Governor and the Wyoming State Health Office announced a supplemental health order prohibiting gatherings of more than 10 people.,Y,,,,,,,,,,,
22-Mar-20,The Governor announced the eligibility of Wyoming small businesses to apply to the U.S. Small Business Administration for Economic Injury Disaster Loans.,,,,,,,,,,,Y,
24-Mar-20,"The Governor and State Health Officer ordered the state-wide closure of non-essential personal services, including salons; barber shops; cosmetology, electrology, and aesthetic services; massage parlors; and tattoo, piercing, and body art shops. The order will remain in effect until April 3.",,,,,,,,,,,,
25-Mar-20,The Governor asked citizens to stay home when possible and limit travel to only essential trips.,Y,,,,,,,,,,,
27-Mar-20,"The Centers for Medicare & Medicaid Services (CMS) approvedWyomings request for a Section 1135 Medicaid waiver. The approved waiver enables Wyoming to provide flexibilities in Medicaid provider screening and      enrollment, forgo certain pre-admission screening and annual resident review assessments, lift prior authorization requirements, allow for reimbursement facility services in alternative settings, and extend fair hearing timelines",,,,,,,,,,,Y,
27-Mar-20,The Governor and State Health Officer extended the three existing statewide health orders through April 17.,Y,,,,,,,,,,,
27-Mar-20,"The Governor announced the Department of Workforce Services and the Workforce Development Council are offering $300,000 in grants to support businesses in order to avert or shorten layoffs during the COVID-19 pandemic in Wyoming.",,,,,,,,,,,Y,
2-Apr-20,"The Wyoming Department of Health announced that, due to supply shortages, they will be limiting testing available through the Wyoming Public Health Laboratory. ",,,,Y,,,,,,,,
3-Apr-20,The Governor extended the three existing statewide health orders through April 30.,Y,,,,,,,,,,,
6-Apr-20,"The Wyoming Department of Health recommended, in line with the CDC, wearing cloth face coverings. ",Y,,,,,,,,,,,
9-Apr-20,The Governor submitted a request for a federal disaster declaration. ,,,,,,,,,,,Y,
14-Apr-20,The Department of Health (WDH) announced the arrival of the Center for Disease Control and Preventions (CDCs) Community Protection Initiative team to supplement the work of the WDH. ,,,,,,,,,,,Y,
15-Apr-20,The Governor instructed all state agency directors to identify opportunities to immediately reduce spending in anticipation of COVID-19 economic impacts. ,,,,,,,,,Y,,,
17-Apr-20,The Governor announced that current Wyoming public health orders will remain in effect through April 30. ,Y,,,,,,,,,,,
21-Apr-20,"The Wyoming Business Councils Main Street program, the Wyoming State Chamber of Commerce, the Wyoming Small Business Development Center and the Wyoming Economic Development Association assembled a program to offer support to small business owners facing challenges related to the COVID-19 pandemic.",,,,,,,,,,,Y,
23-Apr-20,"The Governor unveiled a new phase of the states COVID-19 response, creating a path to ease restrictions, recover businesses, and resume some activities. The approach will be driven by public health data and will provide flexibility to counties based on local conditions. ",,Y,,,,,,,,,,
28-Apr-20,"The Governor announced new public health orders, which will authorize gyms, barber shops, hair salons and other personal care services to reopen under specific operating conditions, beginning May 1. ",,Y,,,,,,,,,,
1-May-20,"The Wyoming Business Council released a new website that will serve as a one-stop location for citizens to see open businesses in their communities, and how to access services amid the COVID-19 crisis.",,,,,,,,,,,Y,
7-May-20,"The Governor signed a proclamation, convening a special session of the Legislature, to begin on May 15, to amend and create programs to help businesses and residents impacted by COVID-19.",,,,,,,,,,,Y,
13-May-20,"The Governor announced updated public health orders that will ease restrictions on several business categories, and will permit restaurants to resume indoor table service statewide.",,Y,,,,,,,,,,
13-May-20,"The Governor allocated $17 million in federal funding to expand the states testing capacity, improve contact tracing efforts, and increase the states supply of PPE.",,,,Y,,,,,,,,
20-May-20,"The Governor signed three pieces of legislation, passed by the Wyoming Legislature, establishing a framework for spending $1.25 billion in federal funding awarded to the state in the CARES Act.",,,,,,,,,,,Y,
27-May-20,"The Governor announced that updated public health orders, effective June 1, will ease restrictions on public gatherings to allow outdoor gatherings of up to 250 people.",,Y,,,,,,,,,,
28-May-20,"The Governor and representatives from the states largest rodeos announced that six of Wyomings large rodeos and events will not take place in 2020. This decision factored in economics, health concerns and logistics.",Y,,,,,,,,,,,
4-Jun-20,"The Governor instructed state agencies to immediately take action to further reduce spending and prepare for deeper cuts; the reduction plan requires agencies to prepare for more drastic scenarios, in addition to a current state hiring freeze and limitation on large contracts.",,,,,,,,,Y,,,
10-Jun-20,"The Governor released updated public health orders to take effect on June 15. The orders will continue to ease restrictions on public gatherings; allow indoor gatherings of up to 250 people; and allow K-12 schools, community colleges, the University, and other educational institutions to reopen facilities and resume in-person instruction for all students.",,Y,,,,,,,,,,
17-Jun-20,"The Wyoming Department of Health issued updated guidance to allow long-term care facilities to permit in-person visitation outdoors under specific guidance, including designated spacing, limiting visitors to two people, and requiring screening of visitors for symptoms of respiratory illness.",,Y,,,,,,,,,,
1-Jul-20,"The Governor announced Care19 Diary, a free mobile application designed to help with the COVID-19 contact tracing.",,,,,,,,,,,Y,
1-Jul-20,The Wyoming Superintendent announced the release of a “Smart Start” guidance document for school districts as they prepare for the fall semester of the 2020-2021 school year.,,,,,,,,,,,Y,
13-Jul-20,The Governor announced that all current public health orders will be extended through July 31.,,,,,,,,,,,Y,
27-Jul-20," The Wyoming Office of Homeland Security, the Wyoming Department of Health, and the Wyoming Department of Education announced a joint effort to deliver 500,000 face coverings to school districts around the state in advance of schools reopening in the fall.",,,,,,,,,,,Y,
28-Jul-20,The Governor announced that current public health orders will remain in place through August 15 as cases continue to rise in the state.,Y,,,,,,,,,,,
29-Jul-20,The Governor announced applications for $225M in Business Relief Funding,,,,,,,,,Y,,Y,
5-Aug-20,Governor Gordon used CARES Act funds to pay for higher education for unemployed and underemployed adults,,,,,Y,,,,,,Y,
7-Aug-20,Governor Gordon announced CARES Wyoming College Grant Program ,,,,,Y,,,,Y,,,
