date,policy
"March 12, 2020","Governor Sununu announced a new order, issued by the states Insurance Commissioner, requiring health insurers to cover services associated with testing of COVID-19. It outlines a series of actions that health insurers must take, such as offering telehealth services and expanding access to prescription drug refills."
"March 15, 2020", The Governor issued an emergency order closing all public schools in the state while also providing guidance to districts on remote learning plans.
"March 16, 2020", The Governor limited scheduled public gatherings over 50 people and required that all bars and restaurants transition to offsite eating options.
"March 16, 2020", The Governor sent a memo to municipal officials and state boards and commissioners on compliance with the states Right to Know law.
"March 17, 2020"," The Governor issued three emergency orders that:

Prohibit service providers from disconnecting or discontinuing services for non-payments;


Prohibit evictions for those impacted by COVID-19; and


Provide immediate access to unemployment benefits for those impacted by COVID-19.

"
"March 17, 2020","March 17,2020  The New Hampshire Insurance Department posted Frequently Asked Questions about Business Interruption Insurance Coverage and the Novel Coronavirus 2019 (COVID-19)."
"March 18, 2020"," The Governor issued Executive orders 6, 7, and 8 which:

Allow for temporary authorization for takeout or delivery of beer or wine;


Modify data and privacy governance plans to allow school district to have greater flexibility in developing remote learning software tools; and


Expand access to telehealth services.

"
"March 18, 2020", The Department of Motor Vehicles transitioned to phone and online services.
"March 19, 2020", The Governor issued Emergency Order 9 establishing the Emergency Healthcare System Relief Fund.
"March 20, 2020", The Governor sent a letter to Leader McConnell and Speaker Pelosi regarding the Disaster Unemployment Assistance program.
"March 20, 2020", The Governor and state delegation sent a letter to President Trump urging him to take additional steps to speed up the production and distribution of medical supplies needed to combat this public health emergency.
"March 21, 2020", The Governor issued an Executive Order requiring all grocers and retail stores to temporarily transition to the use of single use paper or plastic bags in order to reduce the transmission of the virus.
"March 23, 2020"," The Governor issued Emergency Orders 11, 12, 13, 14, and 15 which:

Provide temporary authority perform secure remote online notarization.


Provide temporary modification of public access to meetings under RSA 91-A.


Temporarily allow pharmacists and pharmacies to compound and sell hand sanitizer over the counter and allow pharmacy technicians to perform non-dispensing tasks remotely.


Temporarily authorize out-of-state pharmacies to act as licensed mail-order facilities within the State of New Hampshire.


Temporarily authorize out-of-state medical providers to provide medically necessary services, as well as services through telehealth.

"
"March 23, 2020", The Governor sent a letter to Leader McConnell and Speaker Pelosi regarding short-term and long-term steps that can be taken to provide economic assistance to small businesses.
"March 23, 2020","- The Centers for Medicare & Medicaid Services (CMS) approved New Hampshires request for a Section 1135 Medicaid waiver. The approved waiver enables New Hampshire to provide flexibilities in Medicaid provider screening and enrollment, forgo certain pre-admission screening and annual resident review assessments, lift prior authorization requirements, allow for reimbursement facility services in alternative settings, and extend fair hearing and appeals timelines."
"March 24, 2020", The Governor issued Emergency Order 16 which prohibits mass gatherings of 10 or more people.
