date,policy
"March 12, 2020","Governor Carneyissueda State of Emergency declaration to prepare for the spread of Coronavirus (COVID-19).The emergency declaration also:

Requires the Delaware National Guard to take precautionary and responsive actions to assist with Delawares response to thecoronavirus;
Advises event organizers in Delaware to cancel non-essential public gatherings of 100 people or more, to prevent community spread ofcoronavirus;
Allows the State of Delaware to conduct public meetings electronically to prevent unnecessary publicgatherings;
Prohibits price gouging, or an excessive price increase of goods or services, during the coronavirus outbreak.

"
"March 13, 2020",The Governor directed a two-week closure of Delaware public schools
"March 16, 2020", The Delaware Department of Education received a waiver from the federal government to allow school nutrition programs to provide meals to students during the closure.
"March 14, 2020", The Governor authorized all executive branch agencies to conduct public meetings electronically to prevent unnecessary public gatherings until further notice.
"March 16, 2020", The Delaware Department of Transportation announced at the states three toll plazas there will be no toll collectors working to collect cash payments. All traffic will be directed through the EZPass lanes and motorists without EZPass will receive a bill in the mail for the toll with no penalty or processing fee.
"March 16, 2020"," The Governor modified the March 12 emergency declaration to limit Delaware restaurants, taverns and bars to take-out and delivery service. The declaration that took effect at 8:00 PM on March 16 also bans public gatherings of 50 or more people, consistent with updated guidance from the Centers for Disease Control and Prevention (CDC), and closes gaming activity at Delaware casinos. The modification also provides Delawares Secretary of Labor authorization to develop emergency rules to protect Delaware workers and ensure that unemployment benefits are available for Delawareans whose jobs are affected by the coronavirus outbreak."
"March 18, 2020"," The Governor announced the Hospitality Emergency Loan Program to provide financial relief for restaurants, bars and other hospitality industry businesses."
"March 18, 2020"," The Governor approved the following changes to Delawares unemployment benefits program for the hospitality industry:

The Department of Labor (DOL) will begin processing unemployment claims as they are received with the goal of benefits becoming available within a week;


DOL will allow part-time income while collecting benefits as long as employees can demonstrate their decreased hours and earnings; and


DOL will not classify tipped employees as minimum wage earners as long as their tips are reported as wages.

"
"March 18, 2020"," The Governor issued a second modification to his emergency declaration that allows any restaurant, brewpub, tavern or taproom with a valid on-premise license to sell alcoholic beverages as part of transactions for take-out food or drive through food service. The modification also requires the closure of bowling alleys, movie theaters, fitness centers and health spas."
"March 19, 2020", The Governor issued an executive order to allow flexibility to provide child care options for Delaware families and health care workers.
"March 20, 2020", The Governor announced a coordinated statewide plan to ensure individuals have access to safe and efficient testing in Delaware. Tests will be administered at no cost to patients.
"March 20, 2020"," The Governor announced the state and Dogfish Head Craft Brewery are partnering to make more, much-needed hand sanitizer available to the state government."
"March 21, 2020"," The Governor issued a third modification to his emergency declaration, ordering Delaware beaches closed. The public is prohibited from accessing the beach except to exercise or walk dogs where dogs are permitted."
