,date,policy,Restrict/Close,Deferring to County,Opening (County),Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other
0,"March 6, 2020",Governor Beshear declared astate of emergencyto ensure all state entities have the necessary resources to respond.,,,,,,,Y,,,,Y
1,"March 7, 2020","The Governor issuedguidancefor high risk populations, as well as state employees on how to protect themselves and others. This includes modification to state sick leave policies.",,,,,,,,,,,Y
2,"March 10, 2020",GovernorBeshearannouncedin a press conference that Kentucky nursing homes will be limiting patient visits. Patients receiving end-of-life-care are the only group allowed to receive visitors to helpprevent andlimit the spread of COVID-19.,,,,,,,,,,,Y
3,"March 11, 2020","Governor Beshearinstructedschooldistricts tobepreparedto close schools on short notice,closed all state prisons tovisitors,suspended out-of-state travel for state employees, urged more businesses to allow employees to tele-commute and to provide paid sick leave,andasked places of worship to temporarilycancelservices.",Y,,,,,,,,,,
4,"March 15, 2020", The Governor asked all Kentucky hospitals to cease providing elective surgery and for daycare facilities to begin planning for closures.,Y,,,,,,,,,,
5,"March 16, 2020", The Governor ordered all bars and restaurant and dining rooms to close. The order will take effect at 5 PM on March 16.,Y,,,,,,,,,,
6,"March 17, 2020"," The Governor announced the following steps to continue to respond to the COVID-19 pandemic:

All childcare centers, with the exception of those providing services to health care workers and some on-site employers, will close by March 20.


All public-facing businesses that encourage public congregation or, that by the nature of the service to the public, cannot comply with CDC guidelines concerning social distancing, shall cease all in-person operations. These public-facing businesses that must close include entertainment, hospitality and recreational facilities, community and recreation centers, gyms and exercise facilities, hair salons, nail salons, spas, concert venues, theaters, and sporting event facilities.


All acute care facilities should discourage all visitors except for visits in end-of-life circumstances. The Governor also advised psychiatric facilities to restrict visitation, only allowing it if deemed medically necessary by the attending physician, administrator and the medical director.


The Governor recommended personal care homes, assisted living, senior care facilities and intermediate care facilities limit visitation only to loved ones that are receiving end-of-life care.


The Governor also announced a three-month extension of drivers licenses and the postponement of primary elections.

",Y,,,,,,,,,,
7,"March 18, 2020"," The Governor announced several new actions to supplement previous guidance for closing public-facing businesses, including the suspension of all charitable gaming licenses and temporary closing of bingo halls.",,,,,,,,,,,Y
8,"March 18, 2020",The Governor announced that the state is working with federal partners to continue Child Care Assistance Program payments on behalf of qualified families during the mandatory closure period. The state will also be covering copayments typically covered by families.,,,,,,,,,,,Y
9,"March 19, 2020", The Governor signed an order allowing restaurants that have food delivery options and a liquor license to deliver sealed alcoholic beverages in their original containers to customers.,,,,,,,,,,,Y
