date,policy
"March 2, 2020",GovernorMoligaappointeda government taskforceto provide a plan for preparation and response to the covid-19 coronavirus.
"March 21, 2020", The National Emergency Operations Centre (NEOC) has been activated per the National Disaster Management Plan (NDMP) under the National Disaster and Emergency Act 2007.
"March 20, 2020", The Governor amended their declaration of continued public health emergency and state of emergency suspending all entry permits until further notice.
"March 20, 2020"," The Governor announced the closing of all public parks and facilities (toilets) will be closed starting March 22, 2020 until further notice."
"March 25, 2020"," The Governor issued an Executive Order 001 recognizing the Declared Public Health Emergency and State of Emergency, and imminent threat to public health. The order requires the immediate and comprehensive enforcement by the Commissioner of Public Safety, Director of Health, Attorney General, and other agency leaders.

Business are also required to provide necessary supplies to the public and are prohibited from price gouging.

"
"March 25, 2020"," The Governor issued a second amendment to the Declared Public Health Emergency and State of Emergency with the following provisions:

Suspending the restrictions on hazard pay for medical personnel, first responders, and other employees with an increased risk and exposure;


Suspending the maximum grant of four (4) hours for excused absences to state personnel under quarantine or unable to attend work; and


Partially suspending hearings as it relates to P5 immigrant applications for emergency technical assistance.

"
"March 30, 2020", The Governor announced all state employees will move to a 50 percent staffing level for work days.
"April 1, 2020", The Governor issued the second amended declaration of continued public health emergency and state of emergency suspending all entry permits until further notice.
"May 1, 2020"," The Governor issued      the fourth amended Declaration of Continued Public Health Emergency and      State of Emergency extending that will be in effect for thirty (30) days      and will expire on June 1, 2020."
"June 1, 2020"," The Governor issued the fifth amended declaration of continued public health emergency and state of emergency for COVID-19 in effect for thirty (30) days and will expire on July 1, 2020. The current threat level remains as Code Blue."
"June 18, 2020", The American Samoa Department of Health announced all returning travelers need to get a Medical Clearance within 3 days of arrival from Samoa Ministry of Health.
