,date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other
0,"March 3, 2020",Governor Bullock activated the Governors Coronavirus Task Force to coordinate efforts across state government responding to COVID-19.,,,,,,,,,,,Y
1,"March 12, 2020","Governor Bullock declared a state of emergency,which gives him the authority to use $16 million dollars in state fundsand additional personnel from the National Guardto respond to COVID-19.",,,,,,,Y,,,,
2,"March 15, 2020"," The Governor issued guidance closing all public elementary and secondary education schools, limiting mass gatherings of more than 50 people and suspending visitors from all nursing homes. Additionally, the guidance increases the legal weight limit for commercial vehicles by 10%, in an effort to provide more supplies and resources for the state, as well as mobilizing the National Guard to respond when necessary.",Y,,,,Y,,,,,,Y
3,"March 16, 2020", The Governor activated eight Montana Army National Guard soldiers to assist in the arrival and transport of Montana residents returning from quarantine.,,,,,,,,,,,Y
4,"March 17, 2020", The Governor announced that uninsured residents who receive a recommendation from their provider will be eligible to receive coverage for COVID-19 testing and treatment.,,,,,,,,,,,Y
5,"March 17, 2020"," The Governor announced emergency rules to make unemployment benefits accessible to workers who have been laid off due to COVID-19, while also waiving the waiting period for receiving benefits.",,,,,,,,,,,Y
6,"March 18, 2020", The Governor expanded access to telemedicine services to ensure Montana Medicaid patients receive quality health care in their homes to prevent unnecessary gatherings at health care facilities.,,,,,,Y,,,,,
7,"March 19, 2020", The Governor issued a quarantine advisory of 14 days to all residents who have traveled internationally.,,,,,,,,,,,Y
8,"March 20, 2020"," The Governor announced measures to close dine-in food services, alcoholic beverage businesses, health clubs, and other facilities across the state.",Y,,,,,,,,,,
9,"March 20, 2020", The Governor extended the payment and filing deadlines for 2019 individual income taxpayers to July 15 in accordance with the new federal filing deadline.,,,,,,,,,,,Y
10,"March 24, 2020"," The Governor announced new measures that give local governments the flexibility they need to adhere to social distancing guidelines, such as suspending certain office hour requirements in state law to allow for limited closures where local governments cannot safely operate within social distancing guidelines.",,,Y,,,,,,,,Y
11,"March 24, 2020", The Governor issued a directive to extend closures of public schools and dine-in food service and alcoholic beverage businesses through April 10 as well as mandating social distancing measures.,Y,,,,Y,,,,,,
12,"March 26, 2020"," The Governor requested a waiver from the Centers for Medicare & Medicaid Services to allow Montana health care providers to adapt operations to respond to the emergency based on Montanas specific and evolving need, such as making it easier to set up alternative testing or treatment sites, and expedited enrollment for new providers, and better information sharing and coordination to health trace and prevent the spread of COVID.",,,,,,Y,,,,,
13,"March 26, 2020", The Governor issued a directive requiring Montanans to stay home and temporarily closes all nonessential businesses and operations.,Y,,,,,,,,,,
14,"March 30, 2020", The Governor announced a 14-day quarantine for travelers arriving from another state or country to Montana for non-work-related purposes.,Y,,,,,,,,,,
15,"March 30, 2020","- The Centers for Medicare & Medicaid Services (CMS) approved Montanas request for a Section 1135 Medicaid waiver. The approved waiver enables Montana to provide flexibilities in Medicaid provider screening and enrollment, forgo certain pre-admission screening and annual resident review assessments, lift prior authorization requirements, allow for reimbursement facility services in alternative settings, and extend fair hearing timelines.",,,,,,Y,,,,,
16,"March 31, 2020"," The Governor announced protections to lessen the economic impacts of this public health emergency, by stopping evictions, foreclosures and cancellation of utility services including water, heating and internet service.",,,,,,,,,,,Y
17,"March 31, 2020"," The Governor announced a directive that allows Montana hospitals and related facilities to receive financing, under the Montana Facility Finance Authority Act, to remain open and acquire the supplies needed to respond to this public health emergency.",,,,,,Y,,,,,
18,"April 2, 2020", The Governor issued a Directive allowing residents to renew their drivers licenses online and by mail and extended the deadline to complete title and registration paperwork.,,,,,,,,,,,Y
19,"April 3, 2020"," The Governor announced that, through the flexibility and funding of the CARES Act, he will extend federal food assistance to more than 100,000 Montanans, increase food supplies at emergency food pantries and food banks, and streamline nutrition assistance for new mothers and children. ",,,,,,,,,,,Y
20,"April 7, 2020", The Governor announced a measure that will allow first responders to be notified in advance of potential exposure to COVID-19 and ensure they can take appropriate measures to safely perform their duties and avoid exposing other patients. ,,,,,,Y,,,,,Y
21,"April 7, 2020", The Governor issued a directive to waive the current requirement that local and county governments implement a 2 mill emergency levy in order to access new funding coming to the state through the CARES Act. ,,,,,,,,,,,Y
22,"April 7, 2020"," The Governor extended, through April 24, directives he previously issued to protect residents. ",Y,,,,,,,,,,
23,"April 7, 2020", The Governor announced the state successfully sold $33 million in bonds at a historically low interest rate that will allow the state to begin construction projects that will create jobs and stimulate the economy after this public health emergency. ,,,,,,,,,,,Y
