,date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other
0,"March 13, 2020",Gov. Ricketts issued an emergency declaration for COVID-19,,,,,,,Y,,,,
1,"March 13, 2020", The Nebraska Department of Economic Development (DED) allocated Community Development Block Grant funds to assist qualified businesses impacted by the COVID-19 outbreak.,,,,,,,,,,,Y
2,"March 13, 2020", The Department of Economic Development (DED) allocated Community Development Block Grant (CDBG) funds to assist qualified businesses impacted by the COVID-19 outbreak. This funding is available through DEDs CDBG Economic Development funding category.,,,,,,,,,,,Y
3,"March 16, 2020", The Governor announced new guidance which limits mass gatherings to 50 people or less and requires bars and restaurants to move to takeout only (on a regional basis).,Y,,,,,,,,,,
4,"March 17, 2020"," The Governor issued an Executive Order to allow for state and local government boards, commissions and other public bodies to meet by virtual and electronic means through May 31.",,,,,,,,,,,Y
5,"March 17, 2020", The Governor issued an Executive Order to relax eligibility requirements for unemployment benefits.,,,,,,,,,,,Y
6,"March 19, 2020"," The Governor announced the states first Directed Health Measure which limits mass gatherings in certain counties and requires restaurants and bars in those counties to operate delivery, dine-in, or curbside services. The announcement also directed these counties to operate without students in their buildings.",Y,,,,,,,,,,Y
7,"March 19, 2020"," The Governor issued an Executive Order which included:

Waiving penalties or interest with IFTA late filings of quarterly returns;


Extending drivers licenses and vehicle registrations to limit the number of individuals at Department of Motor Vehicle facilities;


Extending title requirements, registrations, or motor carrier temporary documents by 30 days; and


Extending ignition interlock providers by two weeks for all existing customers.

",,,,,,,,,,,Y
8,"March 19, 2020", The Governor issued an Executive Order to provide relief to restaurants and bars who are still serving customers (via non-dine in methods) and provided guidance to these locations that they are limited to serving 10 patrons at a time.,Y,,,,,,,,,,
9,"March 20, 2020"," The Governor announced that he is requesting $58.6 million of emergency funding from the state legislature for local response efforts, health and human services staffing, surge staffing for VA hospitals and care facilities, and lab testing.",,,,,,,,,,,Y
10,"March 20, 2020", The Governor announced that the Small Business Administration approved the states request for an Economic Injury Disaster loan.,,,,,,,,,,,Y
11,"March 23, 2020"," The Governor announced that residents have until July 15, 2020 to pay state income taxes.",,,,,,,,,,,Y
12,"March 25, 2020"," The Governor discussed ideas on the flexibility of continuing business operation, in the areas of offering drive-up service to customers, delivery, and the modification of normal day-to-day interactions.",,,,,,,,,,,Y
