,date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other
0,"March 6, 2020","Governor Abbottissueda statementregarding price-gouging of medical supplies, pointing out that should there be extensive reports of price-gouging, the Governor can grant the Texas Attorney General broader powers to prosecute those cases.",,,,,,,,,,,Y
1,"March 11, 2020","Governor Abbott and the Texas Department of Insurancerequestedinsurersand HMOs to waive copayments, co-insurance, and deductibles for testing and telemedicine visits for the diagnosis of coronavirus, that is consistent with CDC guidance.",,,,,,Y,,,,,Y
2,"March 11, 2020",Governor Abbott and the Texas Department of State Health ServicesurgedTexans to take preventative measures,,,,,,,,,,,Y
3,"March 12, 2020","Governor Abbott hosted a callwith Texas legislators, mayors, and judges, reiteratingstate supportin the form of resources and supplies, as well as encouraginglocals to track expensesfor potential federal reimbursement.",,,,,,,,,,,Y
4,"March 13, 2020", The Governor declared a state of disaster in Texas due to COVID-19.,,,,,,,Y,,,,
5,"March 16, 2020"," The Governor announced that he has waived the State of Texas Assessments of Academic Readiness testing requirements for the 2019-2020 school year. Additionally, the Governor is requesting that the Department of Education waive federal testing requirements for the 2019-2020 school year.",,,,,Y,,,,,,
6,"March 16, 2020"," The Governor announced that Texas is waiving certain rules relating to vehicle registration, parking placards for persons with disabilities, and titling to aid the states efforts to combat COVID-19.",,,,,,,,,,,
7,"March 16, 2020", The Governor granted the Office of the Attorney Generals request for suspension of certain open-meeting statutes. This temporary suspension will allow for telephonic or videoconference meetings of governmental bodies that are accessible to the public in an effort to reduce in-person meetings that assemble large groups of people.,,,,,,,,,,,Y
8,"March 17, 2020", The Texas Department of State Health Services confirmed the first death as a result of COVID-19.,,,,,,,,,,,Y
9,"March 17, 2020", The Governor activated the National Guard in preparation to assist with the COVID-19 response. The activation excludes first responders and health care workers so they may continue to serve in their respective fields.,,,,,,Y,,,,,Y
10,"March 17, 2020", The Governor granted waivers to allow hospitals to increase the total number of unused beds without having to apply or pay additional fees in addition to directing the Texas Department of Insurance to issue an emergency rule regarding telemedicine care for patients.,,,,,,Y,,,,,
11,"March 17, 2020"," The Governor requested designation from the Small Business Administration Economic Injury Disaster Declaration in order to access the Economic Injury Disaster Loan to provide long-term, low-interest loans to affected and qualified businesses across Texas.",,,,,,,,,,,Y
12,"March 18, 2020"," The Governor directed the Department of Public Safety to temporarily waive expiration dates on driver licenses, commercial driver licenses, and other forms of identification.",,,,,,,,,,,Y
13,"March 18, 2020", The Governor issued a proclamation suspending provisions of the Texas Election Code in order to allow political subdivisions to postpone 2020 local elections. Local government will have the ability to postpone May 2elections until November 3.,,,Y,,,,,,,,
14,"March 18, 2020"," The Texas Education Agency (TEA) announced a collaboration with Local Education Agencies (LEA) on the Texas Students MealFinder Map launching March 20. The map, available on the TEA website, will allow parents to locate LEA facilities serving meals to the community.",,,,,,,,,,,Y
15,"March 18, 2020"," The Governor issued a waiver allowing restaurants to deliver alcoholic beverages with food purchases to patrons. He also directed the Texas Alcoholic Beverage Commission to waive certain provisions to allow manufacturers, wholesalers, and retailers of alcoholic beverages to repurchase or sell back unopened product.",,,,,,,,,,,Y
16,"March 18, 2020", The Governor announced immediate closure of all driver license offices across the state.,Y,,,,,,,,,,
17,"March 19, 2020"," The Governor issued a series of Executive Orders to accomplish the following:

Order No. 1: Prohibiting public gatherings of 10 or more people.


Order No. 2: Discouraging dine-in at restaurants and bars, or visitation of gyms and massage parlors.


Order No. 3: Prohibiting visitation to nursing homes, retirement homes, or long-term care facilities.


Order No. 4: Closing schools.

",Y,,,,Y,,,,,,
18,"March 19, 2020", The Commissioner of the Texas Department of State Health Services declared a state of public health disaster for the state of Texas.,,,,,,Y,,,,,Y
19,"March 20, 2020", The Governor directed the Texas Department of Criminal Justice to temporarily suspend inmate fees for health care services related to COVID-19.,,,,,,Y,,,,,Y
20,"March 20, 2020"," The Texas Supreme Court issued an emergency order suspending residential eviction proceedings through April 19, 2020.",,,,,,,,,,,Y
21,"March 20, 2020"," The Governor announced that the U.S. Small Business Administration granted Texas access to the Economic Injury Disaster Loan Program, which will provide long-term, low-interest loans to qualifying businesses.",,,,,,,,,,,Y
22,"March 20, 2020", The Governor announced the temporary suspension of certain provisions of the Texas Alcoholic Beverage Code to allow for refunds of application fees to businesses who applied for temporary event permits for events that were later cancelled.,,,,,,,,,,,Y
23,"March 20, 2020", The Governor temporarily waived regulations to allow pharmacists to conduct telephonic consultations and removed regulations to enable pharmacies to operate at full strength.,,,,,,Y,,,,,
24,"March 20, 2020"," The Governor issued a proclamation, postponing the runoff primary election until July 14, 2020.",,,,,,,,,,,Y
25,"March 21, 2020"," The Governor waived regulations to expand the Texas nursing workforce by:

Allowing temporary permit extensions to practice for graduate nurses and vocational nurses that havent yet taken the licensing exam;


Allowing students in their final year of nursing school to meet clinical objectives by exceeding the 50% limit on stimulated experiences; and


Allowing nurses with inactive licenses or retired nurses to reactivate their licenses.

",,,,,,Y,,,,,
26,"March 22, 2020", The Governor signed an Executive Order postponing non-immediate surgeries and procedures to expand hospital bed capacity.,Y,,,,,,,,,,
27,"March 22, 2020"," The Governor announced the creation of Supply Chain Strike Force, responsible for collaboration between public and private sectors to supply health care facilities with necessary supplies and resources.",,,,,,Y,,,,,Y
28,"March 23, 2020", The Governor announced that Texas received $36.9 million from the CDC as part of the initial allotment from the first emergency coronavirus bill passed by Congress. The Texas Department of State Health Services will distribute $19.5 million to 43 local health departments.,,,,,,Y,,,,,Y
29,"March 23, 2020", The Governor formally requested a major federal disaster declaration in Texas.,,,,,,,Y,,,,Y
30,"March 24, 2020"," The Governor announced that the Supply Chain Strike Force secured more that $83 million worth of purchase orders for essential supplies and will begin receiving 100,000 masks per day by the end of next week; and that the Texas Division of Emergency Management will begin receiving 1,000 masks per day by the end of the week.",,,,,,Y,,,,,
31,"March 24, 2020", The Governor issued an Executive Order to better track hospital bed capacity and COVID-19 test results across the state.,,,,,,Y,,,,,
32,"March 24, 2020", The Governor directed the State Department of Health to permit restaurants to sell bulk retail products from restaurant supply chain distributors directly to consumers.,,,,,,,,,,,Y
33,"March 25, 2020", The Governor announced the receipt of a $16.2 million grant from the Department of Health and Human Services Administration for Community Living to help provide meals for older adults.,,,,,,Y,,,,,Y
