date,policy
"March 2, 2020","Governor Kemp announced a coronavirus task force to assess the states response and procedures for preventing, identifying, and addresses cases of COVID-19."
"March 12, 2020","GovernorKemp ordered most state employees to work from home, but has not shut down the state capitol. He also initiated a call to order for schools and daycare, which allows them toshutdownif local administratorsare in agreementto do so."
"March 12, 2020",Governor Kemprequested100 million in state funds to combat COVID-19.
"March 13, 2020", Governor Kemp issued a public health emergency for the state.
"March, 2020","March, 14, 2020  The Governor issued an executive order calling National Guard troops to active duty. The order calls up 2,000 National Guard troops to active duty to assist in response to the coronavirus outbreak in the state."
"March 16, 2020"," The Georgia General Assembly granted the Governor expansive new emergency powers to combat COVID-19, including the ability to:

Suspend laws and regulations prescribing state agency procedures;


Compel a health care facility to provide services or transfer management to the state;


Commandeer or utilize private property;


Transfer state treasury funds; and


Direct evacuations if necessary.

"
"March 17, 2020"," The Governor ordered all public elementary, secondary, and post-secondary schools to be closed by March 18 through at least March 31."
"March 17, 2020", The Governor in a press conference encouraged Georgians to support local businesses and drive-in/thru restaurants and take out options to bolster the local economy.
"March 17, 2020", The Governor signed the amended fiscal year 2020 budget to tap into the states rainy-day fund for $100 million to combat COVID-19.
"March 18, 2020", The Governor submitted a letter requesting a U.S. Small Business Administration (SBA) declaration to provide SBA Economic Injury Disaster Loans to the State of Georgia.
"March 19, 2020", The Governor urged hospitals to cancel elective surgery in order to save life-saving supplies.
"March 19, 2020"," The Governor, in consultation with the Georgia Department of Public Health and the Georgia Emergency Management and Homeland Security Agency, asked healthcare providers and the public to conserve COVID-19 test for the most vulnerable populations."
"March 19, 2020", The Governor received an official statewide disaster declaration from the U.S. Small Business Administration.
"March 20, 2020"," The Governor announced and named members of the Georgias Coronavirus Task Force Committees. The task force is comprised of the following committees:

Economic Impact


Primary Care Providers


Emergency Preparedness


Homeland and Displaced

"
"March 20. 2020 – The Governor issued two executive orders. One executive order authorized the transfer of over 19 million to the Governor’s Emergency Fund to purchase medical supplies and equipment and the other executive order aimed at reducing regulations surrounding COVID, 2020",March 20. 2020  The Governor issued two executive orders. One executive order authorized the transfer of over 19 million to the Governors Emergency Fund to purchase medical supplies and equipment and the other executive order aimed at reducing regulations surrounding COVID-19 response.
"March 23, 2020", The Governor signed an executive order expanding temporary licensing of certain medical professions assisting in the states response.
"March 23, 2020"," The Governor signed an executive order that limited large gatherings, ordered a shelter-in-place for specific populations, and closed bars, nightclubs for 14 days."
"March 23, 2020", The Governor increased the maximum SNAP benefit level per month per household.
"March 24, 2020"," The Governor called on all Georgia businesses who are able to help the state provide, produce, distribute, or store critical health care items."
"March 25, 2020", The Governor announced that the states coronavirus task force will participate in a live town hall.
"March 25, 2020", The Governor signed an executive order that adopted emergency rules and waivers with respect to renewal and suspensions of drivers licenses and identification cards.
"March 26, 2020", The Governor signed an executive order extending the closure of public schools through April 24.
"March 26, 2020", The Governor signed an executive order to assist the with the states response to unemployment insurance claims.
"March 27, 2020", The Governor deployed the national guard medical support team to support the states efforts in battling COVID-19.
"March 27, 2020", The President approved Georgias disaster declaration and ordered Federal assistance to supplement State and local recovery efforts in Georgia.
"March 30, 2020", The Governor ordered the enforcement of social distancing measures at parks and lakes.
"March 30, 2020", The Governor submitted a request to the Centers for Medicare and Medicaid Services (CMS) for an 1135 Medicaid waiver.
"March 31, 2020", The Governor announced a laboratory surge capacity plan to quickly increase the availability of COVID-19 testing. This plan is in partnership with various university and health systems in Georgia.
"April 1, 2020", The Governor announced that the Georgia National Guard will deploy over 100 Guardsmen to any long-term care facility/assisted living facility or nursing home with COVID-19 cases.
"April 1, 2020", The Governor ordered K-12 schools to be closed for the remainder of the school year.
"April 1, 2020", The Governor signed an executive order that authorized the use of real-time audio-visual communication technology to assist in notarizing real estate documents.
"April 2, 2020","- The Centers for Medicare & Medicaid Services (CMS) approved Georgias request for a Section 1135 Medicaid waiver. The approved waiver enables Georgia to provide flexibilities in Medicaid provider screening and enrollment, forgo certain pre-admission screening and annual resident review assessments, lift prior authorization requirements, allow for reimbursement facility services in alternative settings, and extend fair hearing timelines."
"April 3, 2020"," The Governor announced that the University System of Georgia (USG) and the Georgia Emergency Management and Homeland Security Agency, will offer temporary housing to traveling nurses assisting at Phoebe Putney Memorial Hospital in Albany."
"April 3, 2020"," The Governor signed an executive order to deputizing sheriffs for enforcement of Executive Order 04.02.20.01 involving businesses, establishments, for-profit and non-profit corporations, and organizations requiring shelter-in-place. "
"April 5, 2020", The Governor announced a new Community Outreach Committee as a part of his Coronavirus Task Force Committee. 
