date,policy
"March 4, 2020","Governor Justice held a meeting to discuss coordination of precautionary measures and preparations for COVID-19. Following the meeting, Governor Justice announced that he had issued a State Preparedness Plan for West Virginia."
"March 4, 2020",Governor JusticeissuedaState of Preparedness Proclamation.
"March 9, 2020",The West Virginia Department of Health and Human Servicesannouncedthe creation of ahotline to answer questions of the public and medical providers concerningCOVID-19.
"March 12, 2020","Governor Justice announceda state employee travelbanon out-of-state and international travel and asked West Virginians to reconsider non-essential, personal travel."
"March 12, 2020","Governor Justice issued guidanceto State government office to avoid hosting large meetings, authorizedemergency exemptionsfor the acquisition ofhealth supplies, and asked WVSSAC to suspend both the boys and girls WV High School State School Basketball Tournaments."
"March 14, 2020"," The Governor announced the closure of K-12 schools in the state and issued the following updates: All schools will remain closed to students through at least March 27. Essential staff, as determined by each county board of education, will report March 16 through March 18 to develop continuity plans for students. All teachers, staff, and school service personnel will report March 19 and March 20. County boards of education will determine staff requirements for March 23 and beyond. "
"March 16, 2020"," The Governor declared a State of Emergency ordering the West Virginia Department of Health and Human Resources, West Virginia Division of Homeland Security, and Emergency Management and the West Virginia National Guard to mobilize appropriate personnel and resources to respond to the emergency. The state of emergency orders that it is unlawful for any person, business, or other entity to sell any food items, essential consumer items, and emergency supplies in a manner that violates the West Virginia Consumer Credit and Protection Act, which protects consumer from price gouging and unfair pricing practices during and shortly after a State of Emergency."
"March 16, 2020"," The Governor highlighted other steps the state is taking, including the West Virginia Department of Educations successful opening of more than 500 sites around the state to ensure children who require school breakfasts and lunches will receive meals during the recently announced statewide school closure."
"March 17, 2020"," The Governor confirmed West Virginias first case of COVID-19. The Governor also ordered the immediate closure of all restaurants, bars, and casinos, permitting only drive-thru operations."
"March 18, 2020"," The Governor issued an executive order closing fitness centers, gymnasiums, recreation centers, and similar recreation locations statewide."
"March 19, 2020"," The Governor issued an executive order closing barbershops, hair salons, and nail salons, effective at midnight."
"March 19, 2020", The Governor directed the West Virginia Department of Commerce and Workforce to provide unemployment benefits to those affected by COVID-19 to the maximum extent possible.
"March 19, 2020", The West Virginia Department of Transportation announced that Welcome Centers and Rest Areas will remain open to travelers during the state of emergency.
"March 20, 2020", The West Virginia Department of Health and Human Services announced its Vital Registration Office will close to the public until further notice.
"March 20, 2020", The Governor issued an Executive Order mandating statewide closure of all West Virginia state park lodges and closure of the Hatfield McCoy Trail to the general public.
"March 21, 2020"," The Governor urged West Virginians to stay home as much as possible, and businesses to allow employees to telework if possible."
"March 22, 2020", The Governor announced The West Virginia Work Remote Connection Initiative (WV-WRC). WV-WRC is offered to any small-to-medium sized business across the state to address the lack of network capacity and bandwidth to support remote workers. The program offers secure server and connectivity to any business that needs it at no cost for 90 days.
"March 23, 2020"," The Governor issued a Stay at Home order, ordering all West Virginians to stay at home except for essential needs. The order will remain in place until terminated by a subsequent Executive Order."
"March 25, 2020", The Governor extended the statewide school closure until April 20.
"March 25, 2020", The Governor announced the extension of the state income tax filing and payment deadline until July 15 and waived interest and penalties on property tax filings until May 1.
"March 25, 2020",The Cabinet Secretary of the Health and Human Services Agency declared that all child care not serving essential personnel should close.
"March 26, 2020", The Governor appointed Dr. Clay March as the State CCOVID-19 Czar.
"March 26, 2020", The Secretary of the Department of Health and Human Resources and the State Public Health Officer announced that testing and treatment for all uninsured individuals will be covered by WV Medicaid during the national state of emergency.
"March 30, 2020", The Governor issued an executive order requiring out-of-state citizens to self-quarantine for 14 days on arrival into West Virginia.
"March 30, 2020","- The Centers for Medicare & Medicaid Services (CMS) approved West Virginias request for a Section 1135 Medicaid waiver. The approved waiver enables West Virginia to provide flexibilities in Medicaid provider screening and enrollment, forgo certain pre-admission screening and annual resident review assessments, lift prior authorization requirements, allow for reimbursement facility services in alternative settings, extend fair hearing timelines, and waive public comment and tribal consultation requirements for certain changes to the Medicaid state plan."
"March 31, 2020", The Governor issued an executive order suspending elective medical procedures.
"March 31, 2020", The Governor issued an executive order directing private campgrounds to prohibit new out-of-state campers.
"March 31, 2020", The Governor issued an executive order granting discretion to the Board of Nursing to waive requirements that may hinder delivery of necessary medical procedures.
"April 1, 2020"," The Governor signed an executive order, delaying the states Primary Election to June 9 from May 12."
"April 3, 2020"," The Governor issued an executive order, directing:Gatherings to be limited to a maximum of five (5) people;All businesses to require telework to the extent possible;Local health departments to establish maximum occupancy and social distancing standards in essential businesses;The West Virginia National Guard to provide logistical support and services; andThe West Virginia State Police to assist in enforcement of local county orders."
"April 3, 2020", The Governor directed additional resources to Workforce WV to assist with the processing of unemployment claims. 
"April 3, 2020", The Governor announced the approval of a federal major disaster declaration for the state of West Virginia. 
"April 4, 2020"," The Governor issued an executive order, expanding his April 3 executive order to include several more counties. "
"April 8, 2020"," The Governor issued      an executive order, designating seven West Virginia counties as areas      where local Health Department officials have broader powers to tighten      restrictions to prevent further spread."
"April 9, 2020"," The Governor issued an Executive Order, which:Mandates that all public and private golf courses follow proper cleaning protocols and take additional steps to ensure proper social distancing;Allows municipalities to delay an election previously scheduled by municipal charter prior to June 1;Allows a municipality to hold its election on the same date as the state primary election scheduled for June 9;Suspends certain statutory regulations relating to the West Virginia Board of Examiners in Counseling; and Suspends certain statutory regulations relating to the deadlines for license renewals and fee payments to the West Virginia Alcohol Beverage Control Administration.  "
"April 10, 2020"," The Governor announced a hero pay grant in the amount of $100,000 to each county to distribute at discretion to reward front line workers. "
"April 10, 2020"," The Governor added four counties (Cabell, Ohio, Wayne and Wood) to the Emergency Order enabling counties to further tighten social distancing measures and tighten rules surrounding essential services. "
"April 13, 2020"," The West Virginia National Guard, in collaboration with researchers from West Virginia University, academia, and business and industry leaders, announced a coordinated effort to address personal protective equipment (PPE) shortages. "
"April 15, 2020", The Governor announced discussions with medical experts and state officials regarding Phase 2 of the states response. 
"April 16, 2020", The Governor announced the receipt of $625 million in federal funding to assist the states COVID-19 response. 
"April 17, 2020", The Governor directed the West Virginia Department of Health and Human Resources and the West Virginia National Guard to test all nursing home residents and staff members.
"April 21, 2020", The Governor announced that all K-12 schools will remain closed for the remiainder of the academic year. 
"April 21, 2020"," The Governor and the West Virginia Department of Health and Human Resources announced a free smartphone app to reduce isolation and offer support and resources to West Virginians with Substance Use Disorder, allowing providers to stay connected and engaged with their patients. "
"April 22, 2020", The Governor announced that the two mobile testing laboratories established by the West Virginia National Guard are activated for use. 
"April 23, 2020"," The Governor announced that staff from Workforce West Virginia, with assistance from the West Virginia National Guard, have cleared the backlog of unemployment claims that have been submitted consequent of COVID-19. "
"April 24, 2020"," The Governor sent a letter to the Director of the Federal Bureau of Prisons, urging him to reconsider the decision to transfer out-of-state inmates to West Virginias Hazelton facility during the COVID-19 pandemic. "
"April 24, 2020", The Governor announced plans to begin testing staff members at West Virginia daycares so the facilities can begin reopening. 
"April 27, 2020"," The Governor unveiled West Virginia Strong  The Comeback, the states plan to reopen in phases over the next six weeks, provided the rate of positive COVID-19 cases remains low. "
"April 28, 2020"," The Governor provided additional guidelines to small businesses, restaurants with takeaway services, religious entities, and funeral homes as part of Week 2 operations under the West Virginia Strong  The Comeback plan."
"April 28, 2020"," The Governor announced that the West Virginia Division of Homeland Security and Emergency Management (DHSEM) has secured access to a high-capacity decontamination system for PPE, in coordination with FEMA and the State of Virginia. "
"April 28, 2020"," The Governor signed an executive order, suspending regulatory provisions to provide greater flexibility to dentists and speech-language pathologists. "
"April 29, 2020", The Governor announced the launch of Phase 1 of West Virginias reopening to begin on April 30. Phase 1 permits outpatient healthcare operations to resume and daycare services to reopen. 
"April 29, 2020", The Governor announced that COVID-19 testing has been completed for all residents and staff at the Veterans Nursing Facility in Clarksburg. All 306 tests came back negative. 
