,date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other
0,"March 2, 2020",Governor Cuomoannounced the state will institute a new cleaning protocol at schools and in the public transportation system to help stop any potential spread of the virus.,,,,,,,,,,,Y
1,"March 2, 2020",The Governor will also propose legislation to clarify authority for governor to take certain statewide actions and measures in response to the novel coronavirus outbreak as needed.,,,,,,,,,,,Y
2,"March 2, 2020","The public health laboratory housed within the State Department of Health (DOH) is partnering with hospitals to expand surge testing capacity to 1,000 tests per day statewide for the novel coronavirus. The Wadsworth Center will provide these hospitals with instructions on how to replicate the States test, as well as help them purchase some of the equipment necessary to develop and validate the test.",,,,Y,,Y,,,,,
3,"March 2, 2020","DOHisconvening local health departments and hospitals statewide to review protocols, best practices and procedures to help ensure they are prepared to combat the spread of the novel coronavirus.",,,,,,,,,,,Y
4,"March 2, 2020","Under a directive by the Governor, the State Department of Financial Serviceswill requirehealth insurers to waive cost sharing associated with testing forcoronavirus.",,,,,,Y,,,,,
5,"March 3, 2020",Governor Cuomosigned into lawa $40 million emergency management authorization for New York States novel coronavirus response.,,,,,,,,,,,Y
6,"March 3, 2020",The Governor also announced he will amend his Paid Sick Leave budget proposal to specifically protect from termination people who are required to stay home from work because they are being isolated or quarantined as a result of the novel coronavirus.,,,,,,,,,,,Y
7,"March 3, 2020",Stateuniversityinstitutions willbring backstudents who are in study abroad programs in countries with high prevalence of novel coronavirusandreview all study abroad programs ahead of potential expanded travel restrictions by the federal government.,,,,,,,,,,,Y
8,"March 5, 2020","The Governor has activatedtheirstatewide emergency operations centerin Albany,along withtwooutpostsin Westchester County.",,,,,,,,,,,Y
9,"March 7, 2020",Governor Cuomo declared adisaster emergencyin the state.,,,,,,,Y,,,,
10,"March 10, 2020", Governor CuomodeployedNational Guard troops to a Health Department command post in New Rochelle to assist with the outbreak  an area with 108 confirmed cases at the time of mobilization.,,,,,,Y,,,,,Y
11,"March 11, 2020","Governor CuomoannouncedthatNew York will contract with 28 private labs to increase COVID-19 testing capacity. Additionally, he announced that the state will provide two weeks paid leave for workers who are quarantined as well as$200,000 to local food banks in New Rochelleforfamilies who rely on free school lunches.",,,,Y,,,,,,,Y
12,"March 12, 2020",Governor Cuomo announced that gatherings larger than 500 people should be cancelled or postponed.,Y,,,,,,,,,,
13,"March 13, 2020",- The FDA issued enforcement discretion and is not objecting to the New York State Department of Health authorizing certain laboratories in New York to begin patient testing after validating their tests and notifying the state.,,,,,,,,,,,Y
14,"March 15, 2020","- The Governor sent a letter to President Trump calling for comprehensive federal action to combat COVID-19, including a national strategy for testing, school closures, and hospital surge capacity.",Y,,,,Y,,,,,,
15,"March 15, 2020","- The Governor announced that all NYC, Westchester, Suffolk, and Nassau Public Schools are closed for two weeks beginning on March 16.",Y,,,Y,,Y,,,,,Y
16,"March 16, 2020","- The Governor issued an executive order which: Increases hospital capacity in the state; Directs all nonessential state workers to work from home; Opens drive-through mobile testing facilities in State Island and Rockland County; and Waives all park fees in state, local, and county parks. ",,,,,,,,,,,Y
17,"March 16, 2020",- The Governor issued an executive order delaying village elections until the April 28 primary election.,Y,,,,Y,,,,,,
18,"March 16, 2020",- The Governor issued an executive order directing all New York schools to close from March 19  April 1.,,,,,,,,,,,Y
19,"March 16, 2020"," The Governors of Connecticut, New York and New Jersey announced a regional approach to combatting the novel coronavirus throughout the tri-state area.",,,,,,,,,,,Y
20,"March 17, 2020",- The Governor announced legislation that guarantees job protection and pay for New Yorkers who have been quarantined. The bill also includes comprehensive paid sick leave.,,,,,,Y,,,,,Y
21,"March 17, 2020",- The Governor and State Attorney General announced that the state will temporarily halt the collection of medical and student debt for at least a 30-day period.,,,,,,,,,,,
22,"March 17, 2020",- The New York Empire State Development Corporation posted COVID-19-Related Resources: Novel Coronavirus FAQ for Businesses.,Y,,,,,,,,,,Y
23,"March 18, 2020"," The Governor announced the United States Navy Ship Comfort, a 1000-bed hospital ship, will be deployed to New York harbor.",Y,,,,,,,,,,Y
24,"March 18, 2020"," The Governor directed all non-essential businesses to implement work from home policies, with exceptions for specific essential services determined by the state.",,,,,,,,,,,Y
