date,policy
"March 5, 2020","State officials haveupdated their travel guidancefor residents. Anyone who has arrived from China or Iran, and anyone who has returned from Italy or South Korea, within the last 14 days, are required to contact the public health department and practice social distancing for 14 days post travel."
"March 5, 2020",The state updatedtheirinterim guidance for healthcare professionalsresponding to potential coronavirus cases.
"March 7, 2020","Governor Wolf iscoordinating with legislative leaderson a package that would aim to allocate resources towards supporting county andmunicipalhealth departments, secureequipmentandpersonnel, disseminate public health messaging, and support care for the senior population and those most at risk for infection."
"March 10, 2020",The Department of Insuranceissuedanoticeregarding preparedness plans and information for educating enrollees on their benefits for COIVD treatment and testing.
"March 11, 2020","Governor Wolfissuedguidanceonrestricting travel for state employees as well asnew directives toaddresslarge gatherings, telework, and paid leave for impacted employees."
"March 12, 2020",Governor Wolf providedguidanceforMontgomery County and the state of Pennsylvania on reducing the spread of the virus.
"March 13, 2020",Governor Wolf announces closure of Pennsylvania schools.
"March 15, 2020","The Governor issued an order to close all dine-in facilities starting on March 16 in Allegheny, Bucks, Chester, Delaware, and Montgomery counties for the next 14 days."
"March 16, 2020","- The Governor issued statewide mitigation efforts beginning on March 17 which include the following:

Closing of all restaurants and dine-in services
A no-visitor policy for correctional facilities and nursing homes
Restrictions around non-essential travel
Closure of licensed childcare centers
Closure of adult day care centers, adult training facilities, Provocations facilities, LIFE centers and Senior Community Centers
Visitor restrictions for state centers to ensure health and safety for individuals with an intellectual disability
Visitor restrictions for assisted living and personal care homes to minimize exposure to our seniors and individuals with disabilities
Telework or a 10 workday paid absence for individuals who do not have telework capability

"
"March 16, 2020",- The Governor issued guidance for non-essential businesses across the state to close for at least 14 days to help mitigate the spread of COVID-19.
"March 18, 2020"," The Governors of Connecticut, New York and New Jersey announced that the Governor of Pennsylvania is joining their coalition to implement a regional approach to combatting COVID-19. The Governors expanded their previous orders to include:

Limiting crowd capacity for social and recreational gatherings to 50 people;


Closing restaurants and bars for on premise service and move to take-out and delivery services only; and


Temporary closing of movie theaters, gyms, and casinos.

"
"March 19, 2020", The Governor signed an executive order suspending all non-life-sustaining business.
"March 19, 2020", The Governor announced the availability of low-interest loans for small businesses and eligible non-profits in all 67 counties in the state through the U.S. Small Business Administration.
"March 23, 2020", The Governor issued targeted Stay at Home orders to seven highest-burden counties that will be in effect until April 6.
"March 23, 2020"," The Governor updated previous school closure guidance, extending the deadline to at least April 6."
"March 24, 2020", The Governor posted Frequently Asked Questions related to the Executive Order mandating businesses closures for non-life-sustaining businesses and other business categories related to COVID-19 mitigation.
"March 25, 2020"," The Governor announced that funding is available for small businesses through a program under the Pennsylvania Industrial Development Authoritys Small Business First Fund, the COVID-19 Working Capital Access Program."
"March 25, 2020"," The Governor expanded the Stay at Home order to Lehigh and Northampton counties, bringing the total number of counties under a stay at home directive in Pennsylvania to 10."
"March 26, 2020"," The Governor announced a web portal to source needed supplies for medical providers, emergency responders, and health care professionals."
"March 26, 2020"," The Governor announced $50 million in transferred state funding will be spent to purchase medical equipment and supplies for hospitals, nursing homes, and emergency workers."
"March 26, 2020"," The Governor submitted a letter to the U.S. Department of Agriculture requesting the USDA:

Waive eligibility requirements for the Emergency Food Assistance Program;


Reconsider Pennsylvanias request for temporary waivers to allow more food to be distributed at school feeding sites and food banks; and


Reconsider its interpretation of recent changes to the Supplemental Nutrition Assistance Program to allow for additional flexibility.

"
"March 27, 2020"," The Centers for Medicare & Medicaid Services (CMS) approved Pennsylvanias request for a Section 1135 Medicaid waiver. The approved waiver enables Pennsylvania to provide flexibilities in Medicaid provider screening and enrollment, forgo certain pre-admission screening and annual resident review assessments, lift prior authorization requirements, allow for reimbursement facility services in alternative settings, and extend fair hearing timelines"
"March 27, 2020"," The Governor signed House Bill 1232, which provides $50 million to purchase medical equipment and supplies for hospitals, nursing facilities and emergency medical services."
"March 27, 2020"," The Governor signed Senate Bill 751, which waives the requirement for schools to be in session at least 180 days, provides for continuity of education plans, ensures school employees are paid during the closure, and provides the Secretary of Education with authority to waive student teacher and standardized assessments."
"March 27, 2020"," The Governor signed Senate Bill 422, which reschedules the 2020 primary election from April 28 to June 2 and makes other election process changes."
"March 27, 2020"," The Governor signed House Bill 68, which makes applying for unemployment compensation easier for workers by waiving the one week waiting period and job search and work registration requirements for claimants, among other things."
"March 27, 2020"," The Governor expanded the Stay at Home orders to include nine additional counties, bringing the state total to 19 counties under a stay-at- home order."
"March 28, 2020"," The Governor expanded the Stay at Home orders to include three additional counties, bringing the state total to 22 counties under a stay-at-home order."
"March 28, 2020"," The Governor approved a request by the Pennsylvania Department of State to suspend several provisions that create barriers to temporary licensure. The Governors approval streamlined the process for retired doctors, nurses, medical students, pharmacists, and other healthcare workers, allowed out-of-state practitioners to practice in the state, expanded telemedicine, and launched a portal to purchase medical supplies."
"March 28, 2020", The Governor received approval for the Pennsylvania Department of Agriculture to operate a Disaster Household Distribution program to provide critical food supplies to hard hit Pennsylvanians.
"March 29, 2020"," The Governor requested a major disaster declaration to provide additional support for state, county and municipal governments and certain nonprofits."
"March 30, 2020", The Governor committed his administration to establishing a policy that strictly prohibits discrimination based on disability or socioeconomic status whereby these groups will be ensured the fair and equitable allocation of scare resources should healthcare needs exceed system capacity.
"March 30, 2020"," The Governor extended the Stay at Home order to four additional counties, bringing the state to a total of 26 counties under a stay-at-home order."
"March 30, 2020", The Governor extended the stay-at-home orders through April 30 and directed all Pennsylvania schools to remain closed until further notice.
"March 31, 2020"," The Governor announced the approval of part of his request to the President for a major disaster declaration which will provide reimbursement for up to 75 percent of eligible expenses related to state, county and local response efforts."
"March 31, 2020"," The Governor expanded the Stay at Home order to seven additional counties, bringing the state total to 33 counties under a stay-at-home order."
"April 1, 2020", The Governor extended the stay at home order to all 67 of the states counties. The order will continue until April 30.
"April 3, 2020"," The Governor recommended and issued guidance for Pennsylvanians on universal masking, including instructions on how to make your own mask using materials that can be found at home. "
"April 4, 2020", The Governor issued updated stay-at-home guidance encouraging religious leaders from across the commonwealth to explore and embrace alternative forms of faith gatherings. 
