,date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other
0,"March 2, 2020","Governor Kemp announced a coronavirus task force to assess the states response and procedures for preventing, identifying, and addresses cases of COVID-19.",,,,,,,,,,,Y
1,"March 12, 2020","GovernorKemp ordered most state employees to work from home, but has not shut down the state capitol. He also initiated a call to order for schools and daycare, which allows them toshutdownif local administratorsare in agreementto do so.",Y,,,,,,,,,,
2,"March 12, 2020",Governor Kemprequested100 million in state funds to combat COVID-19.,,,,,,,,,,,Y
3,"March 13, 2020", Governor Kemp issued a public health emergency for the state.,,,,,,,,,,,Y
4,"March, 2020","March, 14, 2020  The Governor issued an executive order calling National Guard troops to active duty. The order calls up 2,000 National Guard troops to active duty to assist in response to the coronavirus outbreak in the state.",,,,,,,,,,,Y
5,"March 16, 2020"," The Georgia General Assembly granted the Governor expansive new emergency powers to combat COVID-19, including the ability to:

Suspend laws and regulations prescribing state agency procedures;


Compel a health care facility to provide services or transfer management to the state;


Commandeer or utilize private property;


Transfer state treasury funds; and


Direct evacuations if necessary.

",,,,,,,,,,,Y
6,"March 17, 2020"," The Governor ordered all public elementary, secondary, and post-secondary schools to be closed by March 18 through at least March 31.",Y,,,,,,,,,,
7,"March 17, 2020", The Governor in a press conference encouraged Georgians to support local businesses and drive-in/thru restaurants and take out options to bolster the local economy.,,,,,,,,,,,Y
8,"March 17, 2020", The Governor signed the amended fiscal year 2020 budget to tap into the states rainy-day fund for $100 million to combat COVID-19.,,,,,,,,,,,Y
9,"March 18, 2020", The Governor submitted a letter requesting a U.S. Small Business Administration (SBA) declaration to provide SBA Economic Injury Disaster Loans to the State of Georgia.,,,,,,,,,,,
10,"March 19, 2020", The Governor urged hospitals to cancel elective surgery in order to save life-saving supplies.,,,,,,,,,,,Y
11,"March 19, 2020"," The Governor, in consultation with the Georgia Department of Public Health and the Georgia Emergency Management and Homeland Security Agency, asked healthcare providers and the public to conserve COVID-19 test for the most vulnerable populations.",,,,,,,,,,,Y
12,"March 19, 2020", The Governor received an official statewide disaster declaration from the U.S. Small Business Administration.,,,,,,,,,,,Y
13,"March 20, 2020"," The Governor announced and named members of the Georgias Coronavirus Task Force Committees. The task force is comprised of the following committees:

Economic Impact


Primary Care Providers


Emergency Preparedness


Homeland and Displaced

",,,,,,,,,,,Y
14,"March 20. 2020 – The Governor issued two executive orders. One executive order authorized the transfer of over 19 million to the Governor’s Emergency Fund to purchase medical supplies and equipment and the other executive order aimed at reducing regulations surrounding COVID, 2020",March 20. 2020  The Governor issued two executive orders. One executive order authorized the transfer of over 19 million to the Governors Emergency Fund to purchase medical supplies and equipment and the other executive order aimed at reducing regulations surrounding COVID-19 response.,,,,,,,,,,,Y
15,"March 23, 2020", The Governor signed an executive order expanding temporary licensing of certain medical professions assisting in the states response.,,,,,,,,,,,Y
16,"March 23, 2020"," The Governor signed an executive order that limited large gatherings, ordered a shelter-in-place for specific populations, and closed bars, nightclubs for 14 days.",Y,,,,,,,,,,
17,"March 23, 2020", The Governor increased the maximum SNAP benefit level per month per household.,,,,,,,,,,,Y
18,"March 24, 2020"," The Governor called on all Georgia businesses who are able to help the state provide, produce, distribute, or store critical health care items.",,,,,,,,,,,Y
19,"March 25, 2020", The Governor announced that the states coronavirus task force will participate in a live town hall.,,,,,,,,,,,Y
20,"March 25, 2020", The Governor signed an executive order that adopted emergency rules and waivers with respect to renewal and suspensions of drivers licenses and identification cards.,,,,,,,,,,,Y
21,"March 26, 2020", The Governor signed an executive order extending the closure of public schools through April 24.,,,,,,,,,,,Y
22,"March 26, 2020", The Governor signed an executive order to assist the with the states response to unemployment insurance claims.,,,,,,,,,,,Y
23,"March 27, 2020", The Governor deployed the national guard medical support team to support the states efforts in battling COVID-19.,,,,,,,,,,,Y
24,"March 27, 2020", The President approved Georgias disaster declaration and ordered Federal assistance to supplement State and local recovery efforts in Georgia.,,,,,,,,,,,Y
25,"March 30, 2020", The Governor ordered the enforcement of social distancing measures at parks and lakes.,,,,,,,,,,Y,Y
26,"March 30, 2020", The Governor submitted a request to the Centers for Medicare and Medicaid Services (CMS) for an 1135 Medicaid waiver.,,,,,,,,,,,Y
