,date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other
0,"March 4, 2020",The state senate unanimously approved $100 million funding package to support state and local public health organizations respond to the coronavirus. An amendment was added that ensures individuals can access unemployment benefits without meeting the work search requirements if they are under isolation or quarantine.,,,,,,,,,,,Y
1,"March 4, 2020","According to news sources, King County purchased a motel to expand its ability to provide quarantine.",,,,,,,,,,,Y
2,"March 5, 2020","Insurance Commissioner Mike Kreidlerissued an emergency order forall state-regulated health plans towaive co-pays and deductiblesfor testing, allow for a one-time early refill on prescription medications, and allow enrollees to be treated by another provider within a reasonable distance at no cost (if thereisnot enough providers testing in network).",,,,,,Y,,,,,Y
3,"March 5, 2020",The Department of Labor and Industrieshas changed itsworkers compensationpoliciesto ensure thatbenefitsare providedto health care workers and first responderswho arequarantined.,,,,,,,,,,,Y
4,"March 10, 2020","Governor Insleeissuedrulesguiding visitor rules, screening, and protective measures for nursing homes and assisted living facilities.",Y,,,,,,,,,,
5,"March 10, 2020","Governor Insleeannounceda ban ongatherings of 250 people ormore in King, Pierce, and Snohomish counties as part of a social distancing strategy.",Y,,,,,,,,,,
6,"March 10, 2020",The Governors officepublished aresource list for business and workersin the state who have been impacted by the virus. These resources are aimed atsupportingeconomicretentionand recovery efforts.,,,,,,,,,,,Y
7,"March 10, 2020","The Washington State Department of Health developed a suite ofpolicy considerations and recommendations forschoolfacilities, correctional facilities, andbroader community-based organizations.",,,,,,,,,,,Y
8,"March 11, 2020","Governor Inslee issued anemergency proclamationprohibiting large public events with more the 250 people in King, Snohomish, and Pierce counties.",Y,,,,,,,,,,
9,"March 12, 2020","Governor Inslee announcedclosures of all public and private K-12 schoolsin King, Snohomish and Pierce countiesfor the next six weeks.",Y,,,,Y,,,,,,
10,"March 13, 2020"," The Governor signed a proclamation requiring that all public and private universities, colleges, technical schools, apprenticeship and similar programs are prohibited from conducting in-person classroom instruction and lectures.",Y,,,,Y,,,,,,
11,"March 14, 2020", The Washington State Department of Health and the Office of the Insurance Commissioner issued an emergency order to state-regulated health plans to cover testing and lab fees related to COVID-19 without copays or deductibles and to suspend prior authorization requirements for treatments.,,,,,,Y,,,,,
12,"March 15, 2020"," The Governor signed an emergency proclamation temporarily shutting down restaurants, bars, and entertainment and recreational facilities.",Y,,,,,,,,,,
13,"March 16, 2020"," The Governor announced an emergency proclamation that mandates the immediate two-week closure of all restaurants, bars, and entertainment and recreational facilities, as well as additional limits on large gatherings.",Y,,,,,,,,,,
14,"March 17, 2020"," The Governor signed a series of bills that permit the following actions to bolster the state response to COVID-19:

Provide $200 million to state agencies, local government and tribal governments to respond to COVID-19 and move $175 million from the Budget Stabilization Account to the Disaster Response Account for COVID-19 mitigation. Legislation will also permit $25 million from the Budget Stabilization Account to be used to assist businesses with unemployment impacts.


Increase surge capacity in health care workforce by reducing credentialing delays for healthcare workers and allowing managed care organizations to fill positions with substitute heath care providers.


Allow hourly school employees to maintain health care eligibility provided by the School Employees Benefits Board for the duration of school closures.


Allow state workers and school district employees forced to isolate or quarantine due to infection or exposure to use shared leave.

",,,,,,,,,,,Y
