UID,iso2,iso3,code3,FIPS,Admin2,Province_State,Country_Region,Lat,Long_,Combined_Key,Population,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13
4,AF,AFG,4,,,,Afghanistan,33.9391,67.71,Afghanistan,38928341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,504502,504502,504502,504502,504502,504502,504502,504502,504502,547901,547901,547901,573277,573277,590454,590454,590454,593313,593313,600152,600152,626290,626290,626290,626290,630305,630305,641295,641295,641295,641295,641295,641295,662003,662003,662003,662003,662003,662003,662003,662003,765890,765890,765890,765890,765890,765890,835694,835694,886854,886854,886854,886854,886854,915671,915671,934463,934463,934463,934463,934463,962093,962093
8,AL,ALB,8,,,,Albania,41.1533,20.1683,Albania,2877800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,128,188,266,308,369,405,447,483,519,549,549,549,549,549,549,549,549,549,549,549,549,550,550,550,550,550,550,550,1127,1127,1127,1127,1127,1127,1127,1127,1701,3049,4177,4177,4177,6728,6728,6728,10135,10135,10135,10135,14295,14295,15793,15793,15793,15793,15793,15793,15793,21613,21613,23635,23635,23635,23635,23635,33369,33369,33369,33369,33369,48229,51690,53992,59348,62248,64075,78000,78000,119321,138846,155463,172486,185496,192882,206708,221588,232379,242542,250676,256810,256810,267531,281216,281216,304488,314622,324840,332905,345934,350000,372075,382998,391351,400064,400064,408619,416855,433628,453248,476903,494028,494028,517501,537387,556584,572226,585693,596766,596766,596766,596766,596766,632676,653330,653330,653330,680083,680083,688947,703743,703743,708846,708846,725135,725135,748986,759043,759043,759043,772204,776461,780342,780342,787321,787321,787321,798624,803682,803682,816556,816556,823053,830281,834868,836430,842535,842535,862628,862628,862628,862628,890052,890052,901429,901429,922886,922886,922886,943439,943439,955498,974486,974486,974486,981499,994081,994081,1005663,1011297,1011297,1016554,1022802,1022802,1029234
12,DZ,DZA,12,,,,Algeria,28.0339,1.6596,Algeria,43851043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000
20,AD,AND,20,,,,Andorra,42.5063,1.5218,Andorra,77265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,576,576,576,576,576,576,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1291,1291,1622,1622,1622,1622,1622,1622,1622,2141,2141,2141,2141,2141,2390,2390,2526,2526,2526,2526,2526,2526,2526,2526,2526,2526,3611,3611,4914,4914,4914,4914,4914,8363,8363,8363,8363,9288,9288,9288,9288,9288,9288,9288,9288,9288,9288,9288,9288,9288,9288,9288,9288,12440,15269,15269,15269,15269,15269,15269,17091,19064,19064,19064,19064,19064,19064,19064,26414,26414,26414,26414,26414,26414,26414,28503,28503,28503,28503,28503,28503,28503,28881,28881,28881,28881,28881,28881,28881,28881,28881,28881,28881,31633,31633,31633,31633,31633,31633,31633,32317,32317,32317,32317,32317,32317,32317,32317,32317,32317,32317,32327,35916,35916,35926,35926,35926,35926,35926,41473,41481,41481,41481,41481,41481,41481,41481,51114,51114,51114,51114,51114,51114,63265,63272,63272,63272,63272,63272,63272,68329,68336,68336,68336,68336,68336,68336,68336,68336,70025,70025,70025,70025,70025
24,AO,AGO,24,,,,Angola,-11.2027,17.8739,Angola,32866268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,6169,6169,6169,6169,6169,6169,6169,6169,6169,6169,49000,49000,49000,49000,49000,49000,87022,87022,87022,87022,87022,130750,130750,130750,130750,130750,130750,130750,130750,181578,181578,181578,181578,181578,245442,245442,245442,245442,245442,245442,245442,245442,395447,395447,395447,395447,456349,456349,456349,456349,456349,456349,456349,456349,456349,456349,456349,456349,456349,456349,456349,456349,456349,456349,456349,626572,626572,626572,626572,626572,626572,681502,681502,681502,757535,757535,757535,757535,757535,859979,859979,859979,859979,859979,909215,909215,909215,909215,909215,909215,909215,909215,1115919,1115919,1222630,1222630,1222630,1222630,1222630,1314375,1314375,1314375,1314375,1314375,1380174,1380174,1380174,1380174,1432699,1432699,1432699,1432699,1488292,1488292,1488292,1488292,1488292,1488292,1488292,1513460,1513460,1513460,1513460,1513460,1513460,1513460,1558201,1558201
28,AG,ATG,28,,,,Antigua and Barbuda,17.0608,-61.7964,Antigua and Barbuda,97928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24164,24164,24164,24164,25677,25677,25677,25677,25677,25677,26424,26424,26424,26424,26424,26424,26836,26836,26836,27032,27032,27032,27032,27032,27032,27032,27032,27032,27032,27032,27592,27592,28414,28639,28639,28639,28639,28639,29754,29754,29754,29754,29754,29754,29754,29754,29754,29754,29754,29754,29754,29754,29754,29754,29754,29754,29754,31085,31085,31085,31262,31262,31262,31262,31262,34441,34441,34441,34441,39519,39519,39519,39519,39519,39519,44230,44230,48347,50329,50329,50329,51811,51811,51811,55578,55578,57264,57264,58074,58074,58074,58727,58727,58727,59582,59582,59582,60011,62204,62204,62809,62809,63755,63755,63755,63931,63931,63931,63995,63995,63995,63995,64617,64617,64823,64823,64823,65077,65077,65077,65337
32,AR,ARG,32,,,,Argentina,-38.4161,-63.6167,Argentina,45195777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,700,32013,32013,32013,32013,39599,39599,39599,39599,107542,107542,107542,107542,107542,166833,166833,200759,200759,200759,200759,200759,247933,265724,279602,288064,292023,292386,305880,318033,327999,344034,366384,366384,375851,375851,396562,444018,444018,471383,501152,501152,511582,513178,535303,572928,591632,606245,609605,609791,611169,612322,635583,668654,707148,720267,722234,746615,780455,829832,903915,984895,1025003,1049169,1126108,1181292,1252461,1357596,1357596,1526078,1546699,1648957,1774438,1919074,2098205,2294738,2381429,2404194,2541362,2668103,2805153,2939364,3063864,3119828,3142444,3240731,3328933,3365839,3474415,3570460,3625283,3646068,3744566,3891932,4023017,4123152,4178896,4234505,4260808,4404175,4571819,4771214,4956023,5201468,5313612,5390000,5571878,5754919,5935146,6093016,6226872,6288812,6334554,6433141,6550568,6693438,6807411,7017279,7134949,7214704,7386650,7557986,7715006,7865213,7971470,7997902,8039793,8197011,8391513,8591061,8820691,9001747,9082597,9122759,9237005,9383945,9541511,9704364,9704364,9927783,10002830,10193368,10383925,10549521,10758782,10958659,11067550,11149468,11242209,11331066,11503476,11676733,11906697,12119901,12257297,12497078,12801115,13079195,13374067,13374067,14092493,14336164,14663805,15012734,,15730223,16102741,16286902,16382043,16643769,16876619,17172628,17475935,17837121,18085389,18198899,18380675,18646784,18921680,19205808,19499231,19749468,19951580,20221697,20543325,20907721,21310026,21781425,22179930,22444129,22813398,23317413,23722105,24048381,24518390,24616918,24862187,25254280
,,,,,,,Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,10727,10727,10727,10727,10727,10727,19249,19249,19249,19249,19249,19249,19249,19249,19249,19249,19249,26562,26562,26562,26562,33529,33529,33529,33529,33529,33529,33529,33529,33529,46503,46503,46503,46503,46503,46503,55557,55557,55557,55557,55557,55557,55557,64293,64293,64293,64293,64293,64293,64293,74714,74714,74714,74714,74714,74714,74714,74714,227172,227172,227172,227172,227172
36,AU,AUS,36,,,,Australia,-25.0,133.0,Australia,25459700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,20,2879,6908,17500,25000,30000,31894,33702,41907,50840,61008,71867,76940,81345,86369,94908,106200,125000,135103,159294,162551,164781,182437,203557,226057,240754,253831,257019,282184,307525,355254,408410,460155,507000,511520,541761,597523,670349,744328,823611,828416,843182,844309,854983,920334,996145,1077511,1138866,1166568,1178302,1234681,1295672,1359665,1420577,1474558,1496912,1586556,1653286,1718107,1785338,1855601,1914347,1934077,1937485,1969337,2029544,2112285,2179544,2234844,2254074,2260615,2316969,2396314,2473529,2554531,2627725,2654338,2663221,2736107,2812486,2894770,2980644,2980644,3089184,3100137,3183324,3183324,3371728,3472874,3562495,3599964,3613053,3690622,3795280,3906668,4031539,4153149,4212899,4243600,4362739,4501444,4642703,4786362,4786362,5016352,5076413,5203977,5344862,5344862,5641008,5773924,5834746,5867299,5931245,5931245,6219330,6219330,6360666,6491476,6590741,6719384,6860276,6860276,6999198,7137632,7326320,7374666,7500700,7645585,7806975,7806975,7970153,8121649,8255473,8255473,8567666,8706799,8706799,9014072,9097969,9097969,9304026
40,AT,AUT,40,,,,Austria,47.5162,14.5501,Austria,9006400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,2033,3652,5005,5013,5017,5025,5027,5146,6938,7775,10965,23951,28360,30584,36246,50973,66345,83050,101391,108166,113855,125270,151137,174652,194324,206018,209156,210407,211901,220486,228508,238348,253379,257079,258440,263140,280448,298352,318691,339875,348926,353957,363680,382877,404608,428937,455605,466051,468072,475195,489755,509269,529005,550385,563344,569322,576243,591032,610831,630640,659312,684067,694259,702944,728213,756038,783217,819924,847939,859806,871325,899588,928390,972952,1031040,1083162,1112860,1133727,1162002,1196205,1230867,1284594,1331711,1347208,1362986,1398357,1437661,1483333,1533862,1575142,1589664,1616125,1657150,1692216,1733903,1777535,1799207,1809190,1821700,1859724,1915026,1986964,2064746,2129744,2155568,2190003,2234498,2301005,2374172,2443770,2500503,2519505,2550525,2595124,2657276,2727196,2794466,2834296,2861877,2892284,2939736,2996645,3071104,3150119,3191684,3208261,3236613,3296020,3370684,3463166,3564565,3617768,3638009,3683817,3751632,3850698,3889317,3979181,4027734,4056335,4119385,4193722,4193722,4413614,4525990,4583643,4617254,4642559,4699297,4768046,4865100,4980906,5044253,5085654,5132295,5222283,5364023,5419428,5530539,5590013,5633751,5714006,5807966,5921721,6043642,6171867,6243115,6284084,6335560,6426470,6546683,6660729,6767175,6835256,6874440,6910539,7008166,7125249,7235847,7359382,7434857,7479255,7537771,7631324,7747028,7862419,7975863,8045571,8091300,8154289,8239846,8337200,8434776,8434776,8577511,8607754,8607754,8722956
