Province_State,Country_Region,Date,Doses_admin,People_partially_vaccinated,People_fully_vaccinated,Report_Date_String,UID
,Afghanistan,2021-07-04,886854,699200,187654,2021/07/04,4
,Albania,2021-07-04,974486,567084,407402,2021/07/04,8
,Algeria,2021-07-04,2500000,2500000,0,2021/07/04,12
,Andorra,2021-07-04,68336,41716,26613,2021/07/04,20
,Angola,2021-07-04,1488292,943301,544991,2021/07/04,24
,Antigua and Barbuda,2021-07-04,63995,36432,27563,2021/07/04,28
,Argentina,2021-07-04,21781425,17106617,4203409,2021/07/04,32
Autonomous City of Buenos Aires,Argentina,2021-07-04,1944786,,,2021/07/04,3201
Buenos Aires,Argentina,2021-07-04,8014917,,,2021/07/04,3202
Catamarca,Argentina,2021-07-04,195895,,,2021/07/04,3203
Chaco,Argentina,2021-07-04,548634,,,2021/07/04,3204
Chubut,Argentina,2021-07-04,301364,,,2021/07/04,3205
Cordoba,Argentina,2021-07-04,1763888,,,2021/07/04,3207
Corrientes,Argentina,2021-07-04,504286,,,2021/07/04,3206
Entre Rios,Argentina,2021-07-04,649503,,,2021/07/04,3208
Formosa,Argentina,2021-07-04,292642,,,2021/07/04,3209
Jujuy,Argentina,2021-07-04,402017,,,2021/07/04,3210
La Pampa,Argentina,2021-07-04,212197,,,2021/07/04,3211
La Rioja,Argentina,2021-07-04,200990,,,2021/07/04,3212
Mendoza,Argentina,2021-07-04,949298,,,2021/07/04,3213
Misiones,Argentina,2021-07-04,473029,,,2021/07/04,3214
Neuquen,Argentina,2021-07-04,326753,,,2021/07/04,3215
Rio Negro,Argentina,2021-07-04,374466,,,2021/07/04,3216
Salta,Argentina,2021-07-04,661171,,,2021/07/04,3217
San Juan,Argentina,2021-07-04,377370,,,2021/07/04,3218
San Luis,Argentina,2021-07-04,287063,,,2021/07/04,3219
Santa Cruz,Argentina,2021-07-04,172992,,,2021/07/04,3220
Santa Fe,Argentina,2021-07-04,1752387,,,2021/07/04,3221
Santiago del Estero,Argentina,2021-07-04,452161,,,2021/07/04,3222
Tierra del Fuego,Argentina,2021-07-04,91147,,,2021/07/04,3223
Tucuman,Argentina,2021-07-04,832469,,,2021/07/04,3224
,Armenia,2021-07-04,74714,58518,16196,2021/07/04,51
,Australia,2021-07-04,7970153,6243880,1726273,2021/07/04,36
,Austria,2021-07-04,8045571,4820911,3272220,2021/07/04,40
,Azerbaijan,2021-07-04,3670729,2290808,1379921,2021/07/04,31
,Bahamas,2021-07-04,91067,58122,32945,2021/07/04,44
,Bahrain,2021-07-04,2133703,1061023,993896,2021/07/04,48
,Bangladesh,2021-07-04,10103737,5823245,4279770,2021/07/04,50
Barisal,Bangladesh,2021-07-04,433190,,,2021/07/04,5001
Chittagong,Bangladesh,2021-07-04,2061345,,,2021/07/04,5002
Dhaka,Bangladesh,2021-07-04,3323383,,,2021/07/04,5003
Khulna,Bangladesh,2021-07-04,1220382,,,2021/07/04,5004
Mymensingh,Bangladesh,2021-07-04,479041,,,2021/07/04,5005
Rajshahi,Bangladesh,2021-07-04,1078466,,,2021/07/04,5006
Rangpur,Bangladesh,2021-07-04,985777,,,2021/07/04,5007
Sylhet,Bangladesh,2021-07-04,522153,,,2021/07/04,5008
Unassigned,Bangladesh,2021-07-04,0,,,2021/07/04,5009
,Barbados,2021-07-04,166567,95386,71181,2021/07/04,52
,Belarus,2021-07-04,1068413,699141,369272,2021/07/04,112
,Belgium,2021-07-04,11060661,7251205,4073334,2021/07/04,56
,Belize,2021-07-04,106010,79993,26017,2021/07/04,84
,Bhutan,2021-07-04,485315,485315,0,2021/07/04,64
,Bolivia,2021-07-04,2647544,1927217,720327,2021/07/04,68
,Bosnia and Herzegovina,2021-07-04,456521,301801,154720,2021/07/04,70
,Botswana,2021-07-04,250345,158863,91482,2021/07/04,72
,Brazil,2021-07-04,97135737,75783345,26996751,2021/07/04,76
Acre,Brazil,2021-07-04,364906,,,2021/07/04,7601
Alagoas,Brazil,2021-07-04,1421213,,,2021/07/04,7602
Amapa,Brazil,2021-07-04,271691,,,2021/07/04,7603
Amazonas,Brazil,2021-07-04,1773255,,,2021/07/04,7604
Bahia,Brazil,2021-07-04,6152177,,,2021/07/04,7605
Ceara,Brazil,2021-07-04,3270535,,,2021/07/04,7606
Distrito Federal,Brazil,2021-07-04,1283699,,,2021/07/04,7607
Espirito Santo,Brazil,2021-07-04,2219656,,,2021/07/04,7608
Goias,Brazil,2021-07-04,3111799,,,2021/07/04,7609
Maranhao,Brazil,2021-07-04,3106822,,,2021/07/04,7610
Mato Grosso,Brazil,2021-07-04,1351618,,,2021/07/04,7611
Mato Grosso do Sul,Brazil,2021-07-04,1615951,,,2021/07/04,7612
Minas Gerais,Brazil,2021-07-04,9357072,,,2021/07/04,7613
Para,Brazil,2021-07-04,2890438,,,2021/07/04,7614
Paraiba,Brazil,2021-07-04,1834443,,,2021/07/04,7615
Parana,Brazil,2021-07-04,5830476,,,2021/07/04,7616
Pernambuco,Brazil,2021-07-04,3750035,,,2021/07/04,7617
Piaui,Brazil,2021-07-04,1391719,,,2021/07/04,7618
Rio Grande do Norte,Brazil,2021-07-04,1652963,,,2021/07/04,7620
Rio Grande do Sul,Brazil,2021-07-04,6832516,,,2021/07/04,7621
Rio de Janeiro,Brazil,2021-07-04,8084518,,,2021/07/04,7619
Rondonia,Brazil,2021-07-04,688403,,,2021/07/04,7622
Roraima,Brazil,2021-07-04,222025,,,2021/07/04,7623
Santa Catarina,Brazil,2021-07-04,3225600,,,2021/07/04,7624
Sao Paulo,Brazil,2021-07-04,23887012,,,2021/07/04,7625
Sergipe,Brazil,2021-07-04,923887,,,2021/07/04,7626
Tocantins,Brazil,2021-07-04,621308,,,2021/07/04,7627
,Brunei,2021-07-04,87409,72300,15109,2021/07/04,96
,Bulgaria,2021-07-04,1788904,966942,818364,2021/07/04,100
,Burma,2021-07-04,3368042,1840758,1527284,2021/07/04,104
,Cambodia,2021-07-04,7558008,4391526,3166482,2021/07/04,116
,Cameroon,2021-07-04,110324,88333,21991,2021/07/04,120
,Canada,2021-07-04,38777042,25821859,12595940,2021/07/04,124
Alberta,Canada,2021-07-04,4432975,,,2021/07/04,12401
British Columbia,Canada,2021-07-04,5124693,,,2021/07/04,12402
Manitoba,Canada,2021-07-04,1459863,,,2021/07/04,12403
New Brunswick,Canada,2021-07-04,808951,,,2021/07/04,12404
Newfoundland and Labrador,Canada,2021-07-04,489622,,,2021/07/04,12405
Northwest Territories,Canada,2021-07-04,60053,,,2021/07/04,12406
Nova Scotia,Canada,2021-07-04,961653,,,2021/07/04,12407
Nunavut,Canada,2021-07-04,37773,,,2021/07/04,12416
Ontario,Canada,2021-07-04,15365003,,,2021/07/04,12408
Prince Edward Island,Canada,2021-07-04,150370,,,2021/07/04,12409
Quebec,Canada,2021-07-04,8623786,,,2021/07/04,12410
Saskatchewan,Canada,2021-07-04,1202927,,,2021/07/04,12411
Yukon,Canada,2021-07-04,59373,,,2021/07/04,12412
,Chile,2021-07-04,23102886,12667502,10684303,2021/07/04,152
,China,2021-07-04,1283175000,622000000,223299000,2021/07/04,156
Hong Kong,China,2021-07-04,3908607,,,2021/07/04,344
Macau,China,2021-07-04,354557,,,2021/07/04,446
,Colombia,2021-07-04,18857607,11644777,7101383,2021/07/04,170
Amazonas,Colombia,2021-07-04,63889,,,2021/07/04,17001
Antioquia,Colombia,2021-07-04,2838924,,,2021/07/04,17002
Arauca,Colombia,2021-07-04,88061,,,2021/07/04,17003
Atlantico,Colombia,2021-07-04,968852,,,2021/07/04,17004
Bolivar,Colombia,2021-07-04,776971,,,2021/07/04,17005
Boyaca,Colombia,2021-07-04,562806,,,2021/07/04,17006
Caldas,Colombia,2021-07-04,431093,,,2021/07/04,17007
Capital District,Colombia,2021-07-04,3543507,,,2021/07/04,17008
Caqueta,Colombia,2021-07-04,117640,,,2021/07/04,17009
Casanare,Colombia,2021-07-04,134549,,,2021/07/04,17010
Cauca,Colombia,2021-07-04,318874,,,2021/07/04,17011
Cesar,Colombia,2021-07-04,336861,,,2021/07/04,17012
