FIPS,Province_State,Country_Region,Date,Lat,Long_,Vaccine_Type,Doses_alloc,Doses_shipped,Doses_admin,Stage_One_Doses,Stage_Two_Doses,Combined_Key
1,Alabama,US,2022-09-21,32.3182,-86.9023,Pfizer,,5776980,3537147,,1343815,"Alabama, US"
1,Alabama,US,2022-09-21,32.3182,-86.9023,Moderna,,4747860,2861436,,1047950,"Alabama, US"
1,Alabama,US,2022-09-21,32.3182,-86.9023,All,,10941640,6578223,3139166,2445876,"Alabama, US"
1,Alabama,US,2022-09-21,32.3182,-86.9023,Unassigned,,16000,227,2971273,54111,"Alabama, US"
1,Alabama,US,2022-09-21,32.3182,-86.9023,Janssen,,400800,178727,167893,,"Alabama, US"
1,Alabama,US,2022-09-21,32.3182,-86.9023,Unknown,,0,686,,,"Alabama, US"
2,Alaska,US,2022-09-21,61.3707,-152.4044,All,,1808465,1209093,523872,432432,"Alaska, US"
2,Alaska,US,2022-09-21,61.3707,-152.4044,Unassigned,,3100,61,481653,10698,"Alaska, US"
2,Alaska,US,2022-09-21,61.3707,-152.4044,Janssen,,85800,46070,42219,,"Alaska, US"
2,Alaska,US,2022-09-21,61.3707,-152.4044,Pfizer,,1028845,695222,,258291,"Alaska, US"
2,Alaska,US,2022-09-21,61.3707,-152.4044,Moderna,,690720,466382,,163443,"Alaska, US"
2,Alaska,US,2022-09-21,61.3707,-152.4044,Unknown,,0,1358,,,"Alaska, US"
4,Arizona,US,2022-09-21,33.7298,-111.4312,All,,16926720,13030381,5505897,4379652,"Arizona, US"
4,Arizona,US,2022-09-21,33.7298,-111.4312,Unassigned,,10600,743,5166712,127633,"Arizona, US"
4,Arizona,US,2022-09-21,33.7298,-111.4312,Janssen,,615200,377931,339185,,"Arizona, US"
4,Arizona,US,2022-09-21,33.7298,-111.4312,Pfizer,,9921700,7534264,,2577886,"Arizona, US"
4,Arizona,US,2022-09-21,33.7298,-111.4312,Moderna,,6379220,5073283,,1674133,"Arizona, US"
4,Arizona,US,2022-09-21,33.7298,-111.4312,Unknown,,0,44160,,,"Arizona, US"
5,Arkansas,US,2022-09-21,34.9697,-92.3731,All,,7179980,4475435,2061363,1602410,"Arkansas, US"
5,Arkansas,US,2022-09-21,34.9697,-92.3731,Unassigned,,23600,157,1946158,38853,"Arkansas, US"
5,Arkansas,US,2022-09-21,34.9697,-92.3731,Janssen,,261200,125367,115205,,"Arkansas, US"
5,Arkansas,US,2022-09-21,34.9697,-92.3731,Pfizer,,3897960,2433670,,884880,"Arkansas, US"
5,Arkansas,US,2022-09-21,34.9697,-92.3731,Moderna,,2997220,1912475,,678677,"Arkansas, US"
5,Arkansas,US,2022-09-21,34.9697,-92.3731,Unknown,,0,4010,,,"Arkansas, US"
6,California,US,2022-09-21,36.1162,-119.6816,Janssen,,3765100,2335131,2099536,,"California, US"
6,California,US,2022-09-21,36.1162,-119.6816,Pfizer,,62127105,47712491,,16999925,"California, US"
6,California,US,2022-09-21,36.1162,-119.6816,Moderna,,36954080,30116001,,9983239,"California, US"
6,California,US,2022-09-21,36.1162,-119.6816,All,,102946685,80172163,33274671,28047845,"California, US"
6,California,US,2022-09-21,36.1162,-119.6816,Unassigned,,100400,,31175135,1064681,"California, US"
6,California,US,2022-09-21,36.1162,-119.6816,Unknown,,0,15965,,,"California, US"
8,Colorado,US,2022-09-21,39.0598,-105.3111,Janssen,,499100,344460,315831,,"Colorado, US"
8,Colorado,US,2022-09-21,39.0598,-105.3111,Pfizer,,8738435,6714397,,2340854,"Colorado, US"
8,Colorado,US,2022-09-21,39.0598,-105.3111,Moderna,,5256640,4438233,,1467632,"Colorado, US"
8,Colorado,US,2022-09-21,39.0598,-105.3111,Unknown,,0,15592,,,"Colorado, US"
8,Colorado,US,2022-09-21,39.0598,-105.3111,All,,14509375,11524363,4694998,3964547,"Colorado, US"
8,Colorado,US,2022-09-21,39.0598,-105.3111,Unassigned,,15200,11681,4379167,156061,"Colorado, US"
9,Connecticut,US,2022-09-21,41.5978,-72.7554,Janssen,,351700,252011,233301,,"Connecticut, US"
9,Connecticut,US,2022-09-21,41.5978,-72.7554,Pfizer,,5856045,4755185,,1674871,"Connecticut, US"
9,Connecticut,US,2022-09-21,41.5978,-72.7554,Moderna,,3892080,3068483,,975879,"Connecticut, US"
9,Connecticut,US,2022-09-21,41.5978,-72.7554,Unknown,,0,1272,,,"Connecticut, US"
9,Connecticut,US,2022-09-21,41.5978,-72.7554,All,,10106025,8077182,3503397,2750843,"Connecticut, US"
9,Connecticut,US,2022-09-21,41.5978,-72.7554,Unassigned,,6200,231,3270096,100093,"Connecticut, US"
10,Delaware,US,2022-09-21,39.3185,-75.5071,Unknown,,0,2472,,,"Delaware, US"
10,Delaware,US,2022-09-21,39.3185,-75.5071,Janssen,,105800,62922,57805,,"Delaware, US"
10,Delaware,US,2022-09-21,39.3185,-75.5071,Pfizer,,1592655,1123007,,390467,"Delaware, US"
10,Delaware,US,2022-09-21,39.3185,-75.5071,Moderna,,1055100,743416,,241735,"Delaware, US"
10,Delaware,US,2022-09-21,39.3185,-75.5071,All,,2752255,1931891,831591,658073,"Delaware, US"
10,Delaware,US,2022-09-21,39.3185,-75.5071,Unassigned,,,74,773786,25871,"Delaware, US"
11,District of Columbia,US,2022-09-21,38.8974,-77.0268,Janssen,,72400,39144,41264,,"District of Columbia, US"
11,District of Columbia,US,2022-09-21,38.8974,-77.0268,Pfizer,,1373825,1031168,,324883,"District of Columbia, US"
11,District of Columbia,US,2022-09-21,38.8974,-77.0268,Moderna,,780580,614363,,192803,"District of Columbia, US"
11,District of Columbia,US,2022-09-21,38.8974,-77.0268,Unknown,,0,2309,,,"District of Columbia, US"
11,District of Columbia,US,2022-09-21,38.8974,-77.0268,All,,2125905,1986610,738804,531371,"District of Columbia, US"
11,District of Columbia,US,2022-09-21,38.8974,-77.0268,Unassigned,,1900,346623,705769,20258,"District of Columbia, US"
12,Florida,US,2022-09-21,27.7663,-81.6868,Janssen,,2439500,1496843,1377949,,"Florida, US"
12,Florida,US,2022-09-21,27.7663,-81.6868,Pfizer,,32024965,23175222,,8289466,"Florida, US"
12,Florida,US,2022-09-21,27.7663,-81.6868,Moderna,,19878520,14620182,,4951744,"Florida, US"
12,Florida,US,2022-09-21,27.7663,-81.6868,Unknown,,0,159735,,,"Florida, US"
12,Florida,US,2022-09-21,27.7663,-81.6868,All,,54374385,39453696,17400470,13688874,"Florida, US"
12,Florida,US,2022-09-21,27.7663,-81.6868,Unassigned,,31400,1714,16022521,447664,"Florida, US"
13,Georgia,US,2022-09-21,33.0406,-83.6431,Janssen,,854200,346396,326744,,"Georgia, US"
13,Georgia,US,2022-09-21,33.0406,-83.6431,Pfizer,,14419055,9237977,,3423353,"Georgia, US"
13,Georgia,US,2022-09-21,33.0406,-83.6431,Moderna,,9611400,6139498,,2194912,"Georgia, US"
13,Georgia,US,2022-09-21,33.0406,-83.6431,Unknown,,0,47452,,,"Georgia, US"
13,Georgia,US,2022-09-21,33.0406,-83.6431,All,,24912255,15771880,7119528,5743024,"Georgia, US"
13,Georgia,US,2022-09-21,33.0406,-83.6431,Unassigned,,27600,557,6792784,124759,"Georgia, US"
15,Hawaii,US,2022-09-21,21.0943,-157.4983,Janssen,,,,,,"Hawaii, US"
15,Hawaii,US,2022-09-21,21.0943,-157.4983,Pfizer,,,,,,"Hawaii, US"
15,Hawaii,US,2022-09-21,21.0943,-157.4983,Moderna,,,,,,"Hawaii, US"
15,Hawaii,US,2022-09-21,21.0943,-157.4983,Unknown,,,,,,"Hawaii, US"
15,Hawaii,US,2022-09-21,21.0943,-157.4983,All,1315360,1315360,2897660,,,"Hawaii, US"
15,Hawaii,US,2022-09-21,21.0943,-157.4983,Unassigned,1315360,1315360,2897660,,,"Hawaii, US"
16,Idaho,US,2022-09-21,44.2405,-114.4788,Janssen,,159300,89652,82760,,"Idaho, US"
16,Idaho,US,2022-09-21,44.2405,-114.4788,Pfizer,,2268910,1521292,,565233,"Idaho, US"
16,Idaho,US,2022-09-21,44.2405,-114.4788,Moderna,,1557580,983419,,337919,"Idaho, US"
16,Idaho,US,2022-09-21,44.2405,-114.4788,Unknown,,0,4523,,,"Idaho, US"
16,Idaho,US,2022-09-21,44.2405,-114.4788,All,,3997890,2599038,1117574,929801,"Idaho, US"
16,Idaho,US,2022-09-21,44.2405,-114.4788,Unassigned,,12100,2441238,1034814,26649,"Idaho, US"
17,Illinois,US,2022-09-21,40.3495,-88.9861,Janssen,,1176900,684145,626699,,"Illinois, US"
17,Illinois,US,2022-09-21,40.3495,-88.9861,Pfizer,,19550535,14780363,,5335681,"Illinois, US"
17,Illinois,US,2022-09-21,40.3495,-88.9861,Moderna,,10971640,8510101,,2860300,"Illinois, US"
17,Illinois,US,2022-09-21,40.3495,-88.9861,Unknown,,0,32154,,,"Illinois, US"
17,Illinois,US,2022-09-21,40.3495,-88.9861,All,,31717275,24007969,9804138,8501221,"Illinois, US"
17,Illinois,US,2022-09-21,40.3495,-88.9861,Unassigned,,18200,1206,9177439,305240,"Illinois, US"
18,Indiana,US,2022-09-21,39.8494,-86.2583,Janssen,,623600,316265,290033,,"Indiana, US"
18,Indiana,US,2022-09-21,39.8494,-86.2583,Pfizer,,9622380,6242979,,2243052,"Indiana, US"
18,Indiana,US,2022-09-21,39.8494,-86.2583,Moderna,,5453800,3723262,,1286972,"Indiana, US"
18,Indiana,US,2022-09-21,39.8494,-86.2583,Unknown,,0,35262,,,"Indiana, US"
18,Indiana,US,2022-09-21,39.8494,-86.2583,All,,15705080,10317965,4257211,3646579,"Indiana, US"
18,Indiana,US,2022-09-21,39.8494,-86.2583,Unassigned,,5300,197,3967178,116555,"Indiana, US"
19,Iowa,US,2022-09-21,42.0115,-93.2105,Janssen,,292200,180380,164698,,"Iowa, US"
19,Iowa,US,2022-09-21,42.0115,-93.2105,Pfizer,,4463935,3094748,,1095518,"Iowa, US"
19,Iowa,US,2022-09-21,42.0115,-93.2105,Moderna,,2983120,2158763,,727982,"Iowa, US"
19,Iowa,US,2022-09-21,42.0115,-93.2105,Unknown,,0,937,,,"Iowa, US"
19,Iowa,US,2022-09-21,42.0115,-93.2105,All,,7751655,5435034,2186294,1891438,"Iowa, US"
19,Iowa,US,2022-09-21,42.0115,-93.2105,Unassigned,,12400,206,2021596,67938,"Iowa, US"
20,Kansas,US,2022-09-21,38.5266,-96.7265,Unknown,,0,6345,,,"Kansas, US"
20,Kansas,US,2022-09-21,38.5266,-96.7265,Janssen,,258700,137955,127688,11402,"Kansas, US"
20,Kansas,US,2022-09-21,38.5266,-96.7265,Pfizer,,4040775,2848272,1210345,1067008,"Kansas, US"
20,Kansas,US,2022-09-21,38.5266,-96.7265,Moderna,,2697040,1840214,688967,652074,"Kansas, US"
20,Kansas,US,2022-09-21,38.5266,-96.7265,All,,7013515,4833013,2164463,1769866,"Kansas, US"
20,Kansas,US,2022-09-21,38.5266,-96.7265,Unassigned,,17000,227,137463,39382,"Kansas, US"
21,Kentucky,US,2022-09-21,37.6681,-84.6701,Unknown,,0,2519,,,"Kentucky, US"
21,Kentucky,US,2022-09-21,37.6681,-84.6701,Janssen,,389600,240582,214714,,"Kentucky, US"
21,Kentucky,US,2022-09-21,37.6681,-84.6701,Pfizer,,5692075,3813703,1624279,1399590,"Kentucky, US"
21,Kentucky,US,2022-09-21,37.6681,-84.6701,Moderna,,4204300,2814738,1141160,995898,"Kentucky, US"
21,Kentucky,US,2022-09-21,37.6681,-84.6701,All,,10294475,6871713,3016920,2474432,"Kentucky, US"
21,Kentucky,US,2022-09-21,37.6681,-84.6701,Unassigned,,8500,171,36767,78944,"Kentucky, US"
22,Louisiana,US,2022-09-21,31.1695,-91.8678,Janssen,,328100,201396,182872,,"Louisiana, US"
22,Louisiana,US,2022-09-21,31.1695,-91.8678,Pfizer,,5113870,3670933,,1370830,"Louisiana, US"
22,Louisiana,US,2022-09-21,31.1695,-91.8678,Moderna,,3772980,2671295,,973931,"Louisiana, US"
22,Louisiana,US,2022-09-21,31.1695,-91.8678,Unknown,,0,3516,,,"Louisiana, US"
22,Louisiana,US,2022-09-21,31.1695,-91.8678,All,,9220550,6547445,2886785,2402176,"Louisiana, US"
22,Louisiana,US,2022-09-21,31.1695,-91.8678,Unassigned,,5600,305,2703913,57415,"Louisiana, US"
23,Maine,US,2022-09-21,44.6939,-69.3819,Janssen,,157100,144729,132666,,"Maine, US"
23,Maine,US,2022-09-21,44.6939,-69.3819,Pfizer,,2299730,1658008,598099,1026296,"Maine, US"
23,Maine,US,2022-09-21,44.6939,-69.3819,Moderna,,1565320,1262836,394434,747812,"Maine, US"
23,Maine,US,2022-09-21,44.6939,-69.3819,Unknown,,0,4392,,,"Maine, US"
23,Maine,US,2022-09-21,44.6939,-69.3819,All,,4027350,3070083,1255589,1020614,"Maine, US"
