Date,UID,Province_State,Country_Region,Doses_admin,People_at_least_one_dose,People_fully_vaccinated,Total_additional_doses
2020-12-14,840,,US,0,0,0,0
2020-12-14,16,American Samoa,US,0,0,0,0
2020-12-14,316,Guam,US,0,0,0,0
2020-12-14,84070022,Long Term Care (LTC) Program,US,0,0,0,0
2020-12-14,580,Northern Mariana Islands,US,0,0,0,0
2020-12-14,850,Virgin Islands,US,0,0,0,0
2020-12-15,840,,US,509,0,0,0
2020-12-15,84000001,Alabama,US,0,0,0,0
2020-12-15,84000002,Alaska,US,0,0,0,0
2020-12-15,16,American Samoa,US,0,0,0,0
2020-12-15,84000004,Arizona,US,0,0,0,0
2020-12-15,84000005,Arkansas,US,0,0,0,0
2020-12-15,84000006,California,US,0,0,0,0
2020-12-15,84000008,Colorado,US,0,0,0,0
2020-12-15,84000009,Connecticut,US,0,0,0,0
2020-12-15,84000010,Delaware,US,0,0,0,0
2020-12-15,84070024,Department of Defense,US,0,0,0,0
2020-12-15,84000011,District of Columbia,US,0,0,0,0
2020-12-15,84000012,Florida,US,0,0,0,0
2020-12-15,84000013,Georgia,US,0,0,0,0
2020-12-15,316,Guam,US,0,0,0,0
2020-12-15,84000015,Hawaii,US,0,0,0,0
2020-12-15,84000016,Idaho,US,0,0,0,0
2020-12-15,84000017,Illinois,US,0,0,0,0
2020-12-15,84070023,Indian Health Services,US,34,0,0,0
2020-12-15,84000018,Indiana,US,0,0,0,0
2020-12-15,84000019,Iowa,US,0,0,0,0
2020-12-15,84000020,Kansas,US,0,0,0,0
2020-12-15,84000021,Kentucky,US,0,0,0,0
2020-12-15,84070022,Long Term Care (LTC) Program,US,0,0,0,0
2020-12-15,84000022,Louisiana,US,0,0,0,0
2020-12-15,84000023,Maine,US,0,0,0,0
2020-12-15,84000024,Maryland,US,0,0,0,0
2020-12-15,84000025,Massachusetts,US,0,0,0,0
2020-12-15,84000026,Michigan,US,0,0,0,0
2020-12-15,84000027,Minnesota,US,0,0,0,0
2020-12-15,84000028,Mississippi,US,0,0,0,0
2020-12-15,84000029,Missouri,US,0,0,0,0
2020-12-15,84000030,Montana,US,0,0,0,0
2020-12-15,84000031,Nebraska,US,0,0,0,0
2020-12-15,84000032,Nevada,US,0,0,0,0
